area,upper_cut,run,Q_DM,dofs,P,nsigma,ok
fullsky,340,1,0.409455,3,0.061717,0.077429,True
fullsky,340,2,0.394332,3,0.058589,0.073497,True
fullsky,340,3,0.411505,3,0.062144,0.077965,True
fullsky,380,1,0.409455,3,0.061717,0.077429,True
fullsky,380,2,0.394332,3,0.058589,0.073497,True
fullsky,380,3,0.411505,3,0.062144,0.077965,True
fullsky,420,1,0.618551,3,0.107827,0.135555,True
fullsky,420,2,0.754783,3,0.139751,0.176057,True
fullsky,420,3,0.695685,3,0.125782,0.158303,True
fullsky,460,1,1.034007,3,0.206976,0.262386,True
fullsky,460,2,1.012599,3,0.201797,0.255673,True
fullsky,460,3,0.885686,3,0.171119,0.216138,True
fullsky,500,1,1.034007,3,0.206976,0.262386,True
fullsky,500,2,1.012599,3,0.201797,0.255673,True
fullsky,500,3,0.885686,3,0.171119,0.216138,True
fullsky,540,1,1.857706,3,0.397541,0.520868,True
fullsky,540,2,1.832515,3,0.392115,0.513095,True
fullsky,540,3,2.359961,3,0.498869,0.672711,True
fullsky,580,1,1.532759,3,0.325270,0.419665,True
fullsky,580,2,1.559029,3,0.331285,0.427912,True
fullsky,580,3,1.275585,3,0.265061,0.338563,True
fullsky,620,1,1.532759,3,0.325270,0.419665,True
fullsky,620,2,1.559029,3,0.331285,0.427912,True
fullsky,620,3,1.275585,3,0.265061,0.338563,True
fullsky,660,1,1.780597,3,0.380834,0.497032,True
fullsky,660,2,2.231981,3,0.474323,0.634620,True
fullsky,660,3,2.016755,3,0.431064,0.569619,True
fullsky,700,1,2.483198,3,0.521665,0.708983,True
fullsky,700,2,2.758974,3,0.569702,0.788682,True
fullsky,700,3,1.953668,3,0.417921,0.550351,True
fullsky,740,1,2.483198,3,0.521665,0.708983,True
fullsky,740,2,2.758974,3,0.569702,0.788682,True
fullsky,740,3,1.953668,3,0.417921,0.550351,True
fullsky,780,1,3.116374,3,0.625972,0.888953,True
fullsky,780,2,2.887865,3,0.590761,0.825233,True
fullsky,780,3,2.915014,3,0.595085,0.832876,True
fullsky,820,1,3.103382,3,0.624041,0.885367,True
fullsky,820,2,2.678316,3,0.556075,0.765582,True
fullsky,820,3,2.027303,3,0.433241,0.572831,True
fullsky,860,1,3.103382,3,0.624041,0.885367,True
fullsky,860,2,2.678316,3,0.556075,0.765582,True
fullsky,860,3,2.027303,3,0.433241,0.572831,True
fullsky,900,1,3.005470,3,0.609217,0.858199,True
fullsky,900,2,4.192067,3,0.758543,1.171352,True
fullsky,900,3,2.922249,3,0.596231,0.834909,True
fullsky,940,1,2.982243,3,0.605629,0.851717,True
fullsky,940,2,5.090613,3,0.834719,1.387527,True
fullsky,940,3,3.050038,3,0.616025,0.870596,True
fullsky,980,1,2.982243,3,0.605629,0.851717,True
fullsky,980,2,5.090613,3,0.834719,1.387527,True
fullsky,980,3,3.050038,3,0.616025,0.870596,True
fullsky,1020,1,3.649311,3,0.698093,1.032353,True
fullsky,1020,2,4.070840,3,0.746084,1.140890,True
fullsky,1020,3,4.025431,3,0.741269,1.129395,True
