area,upper_cut,mean,std,n,n_total,n_excluded
fullsky,340,0.00178,0.00015,3,3,0
fullsky,380,0.00178,0.00015,3,3,0
fullsky,420,0.00749,0.00156,3,3,0
fullsky,460,0.02040,0.00397,3,3,0
fullsky,500,0.02040,0.00397,3,3,0
fullsky,540,0.10710,0.03550,3,3,0
fullsky,580,0.06463,0.01451,3,3,0
fullsky,620,0.06463,0.01451,3,3,0
fullsky,660,0.12858,0.02706,3,3,0
fullsky,700,0.20224,0.06989,3,3,0
fullsky,740,0.20224,0.06989,3,3,0
fullsky,780,0.30145,0.02693,3,3,0
fullsky,820,0.30380,0.08795,3,3,0
fullsky,860,0.30380,0.08795,3,3,0
fullsky,900,0.47789,0.12231,3,3,0
fullsky,940,0.54188,0.28311,3,3,0
fullsky,980,0.54188,0.28311,3,3,0
fullsky,1020,0.61328,0.08107,3,3,0
