upper_cut,tarp,tarp_dev,sbc,sbc_rank_std
340,OK,0.0764999999999999,OK,"[0.2779053975726272, 0.275653966731843, 0.2964896119596772, 0.2958902657658747, 0.27510443017152597, 0.2937244446330608]"
380,OK,0.065,OK,"[0.27689326012021315, 0.27581632361954217, 0.29481777316674784, 0.2932422206981799, 0.2724721900946956, 0.2957485407825371]"
420,OK,0.065,OK,"[0.27689326012021315, 0.27581632361954217, 0.29481777316674784, 0.2932422206981799, 0.2724721900946956, 0.2957485407825371]"
460,OK,0.0799999999999999,OK,"[0.2766280343258796, 0.27980784031188255, 0.2924535849925591, 0.29639876433615575, 0.26661676616447066, 0.29416304896264595]"
500,OK,0.0799999999999999,OK,"[0.2766280343258796, 0.27980784031188255, 0.2924535849925591, 0.29639876433615575, 0.26661676616447066, 0.29416304896264595]"
540,OK,0.07499999999999984,OK,"[0.2798209248787517, 0.2798429202249004, 0.2934207463268404, 0.294473342384332, 0.2714884792675373, 0.2947040888756041]"
580,OK,0.07499999999999984,OK,"[0.2798209248787517, 0.2798429202249004, 0.2934207463268404, 0.294473342384332, 0.2714884792675373, 0.2947040888756041]"
620,OK,0.07500000000000001,OK,"[0.27923690211001845, 0.27988506458008794, 0.2912951413515164, 0.297413255210658, 0.2679911565705108, 0.29382222409987985]"
660,OK,0.07500000000000001,OK,"[0.27923690211001845, 0.27988506458008794, 0.2912951413515164, 0.297413255210658, 0.2679911565705108, 0.29382222409987985]"
700,OK,0.07500000000000001,OK,"[0.27680827186881535, 0.2800493248965261, 0.2883401972930587, 0.29709349433301285, 0.26945953313995036, 0.2920719774302218]"
740,OK,0.07500000000000001,OK,"[0.27680827186881535, 0.2800493248965261, 0.2883401972930587, 0.29709349433301285, 0.26945953313995036, 0.2920719774302218]"
780,OK,0.07999999999999985,OK,"[0.2805581535083235, 0.28568434941382415, 0.29307976729893864, 0.29729194405499787, 0.26624959037527174, 0.2921959573642319]"
820,OK,0.07999999999999985,OK,"[0.2805581535083235, 0.28568434941382415, 0.29307976729893864, 0.29729194405499787, 0.26624959037527174, 0.2921959573642319]"
860,OK,0.07499999999999996,OK,"[0.28382179267984337, 0.29003473822113096, 0.28834055277570647, 0.29874135866163554, 0.2686277675520534, 0.2937445478217425]"
900,OK,0.07499999999999996,OK,"[0.28382179267984337, 0.29003473822113096, 0.28834055277570647, 0.29874135866163554, 0.2686277675520534, 0.2937445478217425]"
940,OK,0.0749999999999999,OK,"[0.2846461619274006, 0.2936317325750062, 0.28958012600142297, 0.3000241646517826, 0.2657097994052911, 0.2912849539111143]"
1020,OK,0.064,OK,"[0.2794501196546533, 0.29000710228372006, 0.28802942124026154, 0.297818921494253, 0.2682583829072262, 0.29028406776810883]"
