area,upper_cut,mean,std,n,n_total,n_excluded
14000,340,0.14977,0.07165,5,5,0
14000,380,0.17199,0.05583,5,5,0
14000,420,0.17199,0.05583,5,5,0
14000,460,0.30447,0.09126,5,5,0
14000,500,0.30447,0.09126,5,5,0
14000,540,0.36677,0.07579,5,5,0
14000,580,0.36677,0.07579,5,5,0
14000,620,0.55389,0.05042,5,5,0
14000,660,0.55389,0.05042,5,5,0
14000,700,0.73286,0.16077,5,5,0
14000,740,0.73286,0.16077,5,5,0
14000,780,1.01749,0.12018,5,5,0
14000,820,1.01749,0.12018,5,5,0
14000,860,1.33587,0.16452,5,5,0
14000,900,1.33587,0.16452,5,5,0
14000,940,1.42572,0.19681,5,5,0
14000,980,1.37748,0.19009,4,4,0
14000,1020,1.50249,0.20698,4,4,0
