area,upper_cut,run,nsigma,Q_DM,dofs,ok
14000,340,41,0.105681,0.513864,3,True
14000,340,42,0.229205,0.927820,3,True
14000,340,43,0.072588,0.390812,3,True
14000,340,44,0.222878,0.907445,3,True
14000,340,45,0.118506,0.559374,3,True
14000,380,41,0.161352,0.705896,3,True
14000,380,42,0.232429,0.938182,3,True
14000,380,43,0.097171,0.483088,3,True
14000,380,44,0.147135,0.658042,3,True
14000,380,45,0.221840,0.904100,3,True
14000,420,41,0.161352,0.705896,3,True
14000,420,42,0.232429,0.938182,3,True
14000,420,43,0.097171,0.483088,3,True
14000,420,44,0.147135,0.658042,3,True
14000,420,45,0.221840,0.904100,3,True
14000,460,41,0.338850,1.276491,3,True
14000,460,42,0.285934,1.108888,3,True
14000,460,43,0.270983,1.061381,3,True
14000,460,44,0.436800,1.587374,3,True
14000,460,45,0.189763,0.799884,3,True
14000,500,41,0.338850,1.276491,3,True
14000,500,42,0.285934,1.108888,3,True
14000,500,43,0.270983,1.061381,3,True
14000,500,44,0.436800,1.587374,3,True
14000,500,45,0.189763,0.799884,3,True
14000,540,41,0.332317,1.255819,3,True
14000,540,42,0.298786,1.149653,3,True
14000,540,43,0.456484,1.650288,3,True
14000,540,44,0.440360,1.598737,3,True
14000,540,45,0.305893,1.172173,3,True
14000,580,41,0.332317,1.255819,3,True
14000,580,42,0.298786,1.149653,3,True
14000,580,43,0.456484,1.650288,3,True
14000,580,44,0.440360,1.598737,3,True
14000,580,45,0.305893,1.172173,3,True
14000,620,41,0.568534,2.013195,3,True
14000,620,42,0.633731,2.229014,3,True
14000,620,43,0.511965,1.828858,3,True
14000,620,44,0.542460,1.927916,3,True
14000,620,45,0.512757,1.831420,3,True
14000,660,41,0.568534,2.013195,3,True
14000,660,42,0.633731,2.229014,3,True
14000,660,43,0.511965,1.828858,3,True
14000,660,44,0.542460,1.927916,3,True
14000,660,45,0.512757,1.831420,3,True
14000,700,41,0.992592,3.498869,3,True
14000,700,42,0.654149,2.297417,3,True
14000,700,43,0.726191,2.542151,3,True
14000,700,44,0.730793,2.557970,3,True
14000,700,45,0.560586,1.987141,3,True
14000,740,41,0.992592,3.498869,3,True
14000,740,42,0.654149,2.297417,3,True
14000,740,43,0.726191,2.542151,3,True
14000,740,44,0.730793,2.557970,3,True
14000,740,45,0.560586,1.987141,3,True
14000,780,41,1.162746,4.157688,3,True
14000,780,42,0.971356,3.419369,3,True
14000,780,43,1.094101,3.887149,3,True
14000,780,44,1.010981,3.568188,3,True
14000,780,45,0.848282,2.969953,3,True
14000,820,41,1.162746,4.157688,3,True
14000,820,42,0.971356,3.419369,3,True
14000,820,43,1.094101,3.887149,3,True
14000,820,44,1.010981,3.568188,3,True
14000,820,45,0.848282,2.969953,3,True
14000,860,41,1.289973,4.676701,3,True
14000,860,42,1.586106,5.977395,3,True
14000,860,43,1.298144,4.710834,3,True
14000,860,44,1.371397,5.021203,3,True
14000,860,45,1.133726,4.042516,3,True
14000,900,41,1.289973,4.676701,3,True
14000,900,42,1.586106,5.977395,3,True
14000,900,43,1.298144,4.710834,3,True
14000,900,44,1.371397,5.021203,3,True
14000,900,45,1.133726,4.042516,3,True
14000,940,41,1.307212,4.748828,3,True
14000,940,42,1.150896,4.110517,3,True
14000,940,43,1.462438,5.418081,3,True
14000,940,44,1.618667,6.128592,3,True
14000,940,45,1.589382,5.992531,3,True
14000,980,41,1.307212,4.748828,3,True
14000,980,42,1.150896,4.110517,3,True
14000,980,43,1.462438,5.418081,3,True
14000,980,45,1.589382,5.992531,3,True
14000,1020,41,1.300698,4.721522,3,True
14000,1020,42,1.407214,5.175856,3,True
14000,1020,43,1.782547,6.914904,3,True
14000,1020,44,1.519485,5.673167,3,True
