area,upper_cut,mean,std,n,n_total,n_excluded
2000,340,0.00000,0.00000,5,5,0
2000,380,0.00000,0.00000,5,5,0
2000,420,0.00000,0.00000,5,5,0
2000,460,0.00001,0.00000,5,5,0
2000,500,0.00001,0.00000,5,5,0
2000,540,0.00003,0.00001,5,5,0
2000,580,0.00003,0.00001,5,5,0
2000,620,0.00004,0.00002,5,5,0
2000,660,0.00009,0.00002,5,5,0
2000,700,0.00022,0.00010,5,5,0
2000,740,0.00024,0.00013,5,5,0
2000,780,0.00026,0.00013,5,5,0
2000,820,0.00047,0.00013,5,5,0
2000,860,0.00036,0.00009,5,5,0
2000,900,0.00064,0.00021,5,5,0
2000,940,0.00073,0.00020,5,5,0
2000,980,0.00105,0.00029,5,5,0
2000,1020,0.00126,0.00032,5,5,0
5000,340,0.00011,0.00005,5,5,0
5000,380,0.00024,0.00016,5,5,0
5000,420,0.00022,0.00007,5,5,0
5000,460,0.00025,0.00007,5,5,0
5000,500,0.00059,0.00018,5,5,0
5000,540,0.00129,0.00063,5,5,0
5000,580,0.00164,0.00061,5,5,0
5000,620,0.00180,0.00069,5,5,0
5000,660,0.00502,0.00133,5,5,0
5000,700,0.00764,0.00507,5,5,0
5000,740,0.00846,0.00475,5,5,0
5000,780,0.01353,0.00150,5,5,0
5000,820,0.02825,0.01332,5,5,0
5000,860,0.01877,0.00426,5,5,0
5000,900,0.03388,0.01379,5,5,0
5000,940,0.03287,0.00988,5,5,0
5000,980,0.04645,0.01435,5,5,0
5000,1020,0.04148,0.01133,5,5,0
10000,340,0.00158,0.00075,5,5,0
10000,380,0.00225,0.00066,5,5,0
10000,420,0.00476,0.00124,5,5,0
10000,460,0.00565,0.00114,5,5,0
10000,500,0.01213,0.00751,5,5,0
10000,540,0.02346,0.01005,5,5,0
10000,580,0.02142,0.01030,5,5,0
10000,620,0.04337,0.01909,5,5,0
10000,660,0.05120,0.01586,5,5,0
10000,700,0.08012,0.00957,5,5,0
10000,740,0.09115,0.02847,5,5,0
10000,780,0.19571,0.04186,5,5,0
10000,820,0.23291,0.09417,5,5,0
10000,860,0.21924,0.03800,5,5,0
10000,900,0.32308,0.10735,5,5,0
10000,940,0.46760,0.04119,5,5,0
10000,980,0.47551,0.07016,5,5,0
10000,1020,0.46149,0.09445,5,5,0
14000,340,0.00474,0.00218,5,5,0
14000,380,0.00912,0.00218,5,5,0
14000,420,0.01882,0.00956,5,5,0
14000,460,0.02669,0.00891,5,5,0
14000,500,0.03542,0.00716,5,5,0
14000,540,0.05372,0.02585,5,5,0
14000,580,0.04823,0.01179,5,5,0
14000,620,0.13961,0.07074,5,5,0
14000,660,0.12973,0.03426,5,5,0
14000,700,0.19519,0.06299,5,5,0
14000,740,0.23765,0.06099,5,5,0
14000,780,0.37458,0.08301,5,5,0
14000,820,0.39722,0.15627,5,5,0
14000,860,0.43458,0.10223,5,5,0
14000,900,0.57715,0.08829,5,5,0
14000,940,0.80258,0.22610,5,5,0
14000,980,0.89584,0.10681,5,5,0
14000,1020,0.88812,0.20705,5,5,0
28000,340,0.08862,0.04382,5,5,0
28000,380,0.15200,0.04573,5,5,0
28000,420,0.16853,0.01618,5,5,0
28000,460,0.17101,0.05611,5,5,0
28000,500,0.17161,0.04743,5,5,0
28000,540,0.32975,0.07881,5,5,0
28000,580,0.40810,0.10156,5,5,0
28000,620,0.57970,0.14598,5,5,0
28000,660,0.70145,0.21864,5,5,0
28000,700,0.69243,0.16162,5,5,0
28000,740,1.12589,0.21987,5,5,0
28000,780,1.31589,0.25278,5,5,0
28000,820,1.41935,0.25251,5,5,0
28000,860,1.60567,0.29983,5,5,0
28000,900,1.91865,0.43947,5,5,0
28000,940,2.45295,0.20407,5,5,0
28000,980,2.51885,0.35086,5,5,0
28000,1020,2.53854,0.32478,5,5,0
35000,340,0.11639,0.02479,5,5,0
35000,380,0.18524,0.05388,5,5,0
35000,420,0.28427,0.07824,5,5,0
35000,460,0.34857,0.11435,5,5,0
35000,500,0.33243,0.06395,5,5,0
35000,540,0.57837,0.19927,5,5,0
35000,580,0.62072,0.11999,5,5,0
35000,620,0.88823,0.15550,5,5,0
35000,660,0.83361,0.08629,5,5,0
35000,700,1.28331,0.20992,5,5,0
35000,740,1.39292,0.27367,5,5,0
35000,780,1.74346,0.28209,5,5,0
35000,820,1.86632,0.45109,5,5,0
35000,860,2.25733,0.41121,5,5,0
35000,900,2.72987,0.37828,5,5,0
35000,940,2.79511,0.32234,5,5,0
35000,980,2.85336,0.45754,5,5,0
35000,1020,3.22693,0.16089,5,5,0
