area,upper_cut,run,Q_DM,dofs,P,nsigma,ok
2000,340,1,0.056117,6,0.000004,0.000005,True
2000,340,2,0.037160,6,0.000001,0.000001,True
2000,340,3,0.055843,6,0.000004,0.000004,True
2000,340,4,0.038556,6,0.000001,0.000001,True
2000,340,5,0.042154,6,0.000002,0.000002,True
2000,380,1,0.035672,6,0.000001,0.000001,True
2000,380,2,0.031471,6,0.000001,0.000001,True
2000,380,3,0.041517,6,0.000001,0.000002,True
2000,380,4,0.045002,6,0.000002,0.000002,True
2000,380,5,0.039772,6,0.000001,0.000002,True
2000,420,1,0.048122,6,0.000002,0.000003,True
2000,420,2,0.055023,6,0.000003,0.000004,True
2000,420,3,0.056628,6,0.000004,0.000005,True
2000,420,4,0.052447,6,0.000003,0.000004,True
2000,420,5,0.059323,6,0.000004,0.000005,True
2000,460,1,0.053182,6,0.000003,0.000004,True
2000,460,2,0.050996,6,0.000003,0.000003,True
2000,460,3,0.066278,6,0.000006,0.000007,True
2000,460,4,0.069193,6,0.000007,0.000008,True
2000,460,5,0.062975,6,0.000005,0.000006,True
2000,500,1,0.069702,6,0.000007,0.000009,True
2000,500,2,0.073327,6,0.000008,0.000010,True
2000,500,3,0.074111,6,0.000008,0.000010,True
2000,500,4,0.087000,6,0.000013,0.000017,True
2000,500,5,0.075227,6,0.000009,0.000011,True
2000,540,1,0.087116,6,0.000013,0.000017,True
2000,540,2,0.095159,6,0.000017,0.000022,True
2000,540,3,0.102682,6,0.000022,0.000027,True
2000,540,4,0.084321,6,0.000012,0.000015,True
2000,540,5,0.122785,6,0.000037,0.000046,True
2000,580,1,0.087849,6,0.000014,0.000017,True
2000,580,2,0.093020,6,0.000016,0.000020,True
2000,580,3,0.123062,6,0.000037,0.000046,True
2000,580,4,0.121904,6,0.000036,0.000045,True
2000,580,5,0.109099,6,0.000026,0.000033,True
2000,620,1,0.093433,6,0.000016,0.000021,True
2000,620,2,0.106255,6,0.000024,0.000030,True
2000,620,3,0.118996,6,0.000034,0.000042,True
2000,620,4,0.124713,6,0.000039,0.000048,True
2000,620,5,0.140741,6,0.000055,0.000069,True
2000,660,1,0.159072,6,0.000079,0.000099,True
2000,660,2,0.133037,6,0.000047,0.000058,True
2000,660,3,0.167861,6,0.000093,0.000116,True
2000,660,4,0.157626,6,0.000077,0.000096,True
2000,660,5,0.147747,6,0.000064,0.000080,True
2000,700,1,0.249053,6,0.000293,0.000368,True
2000,700,2,0.218229,6,0.000200,0.000250,True
2000,700,3,0.172246,6,0.000100,0.000125,True
2000,700,4,0.187249,6,0.000128,0.000160,True
2000,700,5,0.192332,6,0.000138,0.000173,True
2000,740,1,0.182742,6,0.000119,0.000149,True
2000,740,2,0.175071,6,0.000105,0.000131,True
2000,740,3,0.215077,6,0.000191,0.000240,True
2000,740,4,0.211150,6,0.000181,0.000227,True
2000,740,5,0.269083,6,0.000367,0.000460,True
2000,780,1,0.200550,6,0.000156,0.000195,True
2000,780,2,0.222980,6,0.000212,0.000266,True
2000,780,3,0.273090,6,0.000383,0.000480,True
2000,780,4,0.196273,6,0.000146,0.000183,True
2000,780,5,0.199934,6,0.000155,0.000194,True
2000,820,1,0.224792,6,0.000218,0.000273,True
2000,820,2,0.297110,6,0.000489,0.000613,True
2000,820,3,0.263433,6,0.000345,0.000433,True
2000,820,4,0.287851,6,0.000446,0.000559,True
2000,820,5,0.269747,6,0.000370,0.000463,True
2000,860,1,0.229669,6,0.000232,0.000290,True
2000,860,2,0.238601,6,0.000259,0.000324,True
2000,860,3,0.223040,6,0.000213,0.000267,True
2000,860,4,0.270116,6,0.000371,0.000465,True
2000,860,5,0.262910,6,0.000343,0.000430,True
2000,900,1,0.330903,6,0.000667,0.000836,True
2000,900,2,0.281298,6,0.000417,0.000523,True
2000,900,3,0.337492,6,0.000706,0.000885,True
2000,900,4,0.283794,6,0.000428,0.000537,True
2000,900,5,0.259179,6,0.000329,0.000413,True
2000,940,1,0.320215,6,0.000607,0.000761,True
2000,940,2,0.259820,6,0.000332,0.000416,True
2000,940,3,0.350236,6,0.000785,0.000984,True
2000,940,4,0.312199,6,0.000564,0.000707,True
2000,940,5,0.321619,6,0.000615,0.000770,True
2000,980,1,0.392325,6,0.001087,0.001362,True
2000,980,2,0.322300,6,0.000618,0.000775,True
2000,980,3,0.367313,6,0.000900,0.001128,True
2000,980,4,0.382055,6,0.001007,0.001263,True
2000,980,5,0.314090,6,0.000574,0.000719,True
2000,1020,1,0.408652,6,0.001221,0.001530,True
2000,1020,2,0.369166,6,0.000913,0.001145,True
2000,1020,3,0.348623,6,0.000775,0.000971,True
2000,1020,4,0.351554,6,0.000794,0.000995,True
2000,1020,5,0.420820,6,0.001327,0.001663,True
5000,340,1,0.184833,6,0.000123,0.000154,True
5000,340,2,0.166494,6,0.000090,0.000113,True
5000,340,3,0.154226,6,0.000072,0.000090,True
