area,upper_cut,mean,std,n,n_total,n_excluded
2000,340,0.00870,0.00160,3,3,0
2000,380,0.01241,0.00255,3,3,0
2000,420,0.01241,0.00255,3,3,0
2000,460,0.01241,0.00255,3,3,0
2000,500,0.01241,0.00255,3,3,0
2000,540,0.02752,0.00353,3,3,0
2000,580,0.02752,0.00353,3,3,0
2000,620,0.02752,0.00353,3,3,0
2000,660,0.02752,0.00353,3,3,0
2000,700,0.06391,0.00453,3,3,0
2000,740,0.06391,0.00453,3,3,0
2000,780,0.06391,0.00453,3,3,0
2000,820,0.06391,0.00453,3,3,0
2000,860,0.14261,0.01647,3,3,0
2000,900,0.14261,0.01647,3,3,0
2000,940,0.14261,0.01647,3,3,0
2000,980,0.14261,0.01647,3,3,0
2000,1020,0.24455,0.03390,3,3,0
5000,340,0.04628,0.00415,3,3,0
5000,380,0.06864,0.00884,3,3,0
5000,420,0.06864,0.00884,3,3,0
5000,460,0.06864,0.00884,3,3,0
5000,500,0.06864,0.00884,3,3,0
5000,540,0.15573,0.02995,3,3,0
5000,580,0.15573,0.02995,3,3,0
5000,620,0.15573,0.02995,3,3,0
5000,660,0.15573,0.02995,3,3,0
5000,700,0.26327,0.02697,3,3,0
5000,740,0.26327,0.02697,3,3,0
5000,780,0.26327,0.02697,3,3,0
5000,820,0.26327,0.02697,3,3,0
5000,860,0.55213,0.03370,3,3,0
5000,900,0.55213,0.03370,3,3,0
5000,940,0.55213,0.03370,3,3,0
5000,980,0.55213,0.03370,3,3,0
5000,1020,0.80813,0.06260,3,3,0
10000,340,0.11504,0.00924,3,3,0
10000,380,0.19095,0.02610,3,3,0
10000,420,0.19095,0.02610,3,3,0
10000,460,0.19095,0.02610,3,3,0
10000,500,0.19095,0.02610,3,3,0
10000,540,0.48913,0.08835,3,3,0
10000,580,0.48913,0.08835,3,3,0
10000,620,0.48913,0.08835,3,3,0
10000,660,0.48913,0.08835,3,3,0
10000,700,0.75054,0.15322,3,3,0
10000,740,0.75054,0.15322,3,3,0
10000,780,0.75054,0.15322,3,3,0
10000,820,0.75054,0.15322,3,3,0
10000,860,1.18629,0.09350,3,3,0
10000,900,1.18629,0.09350,3,3,0
10000,940,1.18629,0.09350,3,3,0
10000,980,1.18629,0.09350,3,3,0
10000,1020,1.31346,0.18839,3,3,0
14000,340,0.22979,0.05360,3,3,0
14000,380,0.34355,0.03450,3,3,0
14000,420,0.34355,0.03450,3,3,0
14000,460,0.34355,0.03450,3,3,0
14000,500,0.34355,0.03450,3,3,0
14000,540,0.64427,0.02265,3,3,0
14000,580,0.64427,0.02265,3,3,0
14000,620,0.64427,0.02265,3,3,0
14000,660,0.64427,0.02265,3,3,0
14000,700,1.00197,0.14528,3,3,0
14000,740,1.00197,0.14528,3,3,0
14000,780,1.00197,0.14528,3,3,0
14000,820,1.00197,0.14528,3,3,0
14000,860,1.57268,0.32148,3,3,0
14000,900,1.57268,0.32148,3,3,0
14000,940,1.57268,0.32148,3,3,0
14000,980,1.57268,0.32148,3,3,0
14000,1020,1.68166,0.19019,3,3,0
28000,340,0.49407,0.12801,3,3,0
28000,380,0.77584,0.14149,3,3,0
28000,420,0.77584,0.14149,3,3,0
28000,460,0.77584,0.14149,3,3,0
28000,500,0.77584,0.14149,3,3,0
28000,540,1.30204,0.17232,3,3,0
28000,580,1.30204,0.17232,3,3,0
28000,620,1.30204,0.17232,3,3,0
28000,660,1.30204,0.17232,3,3,0
28000,700,2.20908,0.31658,3,3,0
28000,740,2.20908,0.31658,3,3,0
28000,780,2.20908,0.31658,3,3,0
28000,820,2.20908,0.31658,3,3,0
28000,860,2.54645,0.48318,3,3,0
28000,900,2.54645,0.48318,3,3,0
28000,940,2.54645,0.48318,3,3,0
28000,980,2.54645,0.48318,3,3,0
28000,1020,2.86614,0.03726,3,3,0
35000,340,0.69294,0.12675,3,3,0
35000,380,0.96973,0.13572,3,3,0
35000,420,0.96973,0.13572,3,3,0
35000,460,0.96973,0.13572,3,3,0
35000,500,0.96973,0.13572,3,3,0
35000,540,1.67058,0.09481,3,3,0
35000,580,1.67058,0.09481,3,3,0
35000,620,1.67058,0.09481,3,3,0
35000,660,1.67058,0.09481,3,3,0
35000,700,2.72413,0.42474,3,3,0
35000,740,2.72413,0.42474,3,3,0
35000,780,2.72413,0.42474,3,3,0
35000,820,2.72413,0.42474,3,3,0
35000,860,3.33057,0.21926,3,3,0
35000,900,3.33057,0.21926,3,3,0
35000,940,3.33057,0.21926,3,3,0
35000,980,3.33057,0.21926,3,3,0
35000,1020,3.53210,0.68583,3,3,0
