area,upper_cut,run,Q_DM,dofs,P,nsigma,ok
2000,340,1,0.090808,3,0.007083,0.008877,True
2000,340,2,0.077476,3,0.005604,0.007024,True
2000,340,3,0.099795,3,0.008138,0.010200,True
2000,380,1,0.120571,3,0.010741,0.013462,True
2000,380,2,0.095092,3,0.007580,0.009501,True
2000,380,3,0.125415,3,0.011378,0.014261,True
2000,420,1,0.120571,3,0.010741,0.013462,True
2000,420,2,0.095092,3,0.007580,0.009501,True
2000,420,3,0.125415,3,0.011378,0.014261,True
2000,460,1,0.120571,3,0.010741,0.013462,True
2000,460,2,0.095092,3,0.007580,0.009501,True
2000,460,3,0.125415,3,0.011378,0.014261,True
2000,500,1,0.120571,3,0.010741,0.013462,True
2000,500,2,0.095092,3,0.007580,0.009501,True
2000,500,3,0.125415,3,0.011378,0.014261,True
2000,540,1,0.183751,3,0.019831,0.024857,True
2000,540,2,0.190445,3,0.020883,0.026176,True
2000,540,3,0.216711,3,0.025152,0.031529,True
2000,580,1,0.183751,3,0.019831,0.024857,True
2000,580,2,0.190445,3,0.020883,0.026176,True
2000,580,3,0.216711,3,0.025152,0.031529,True
2000,620,1,0.183751,3,0.019831,0.024857,True
2000,620,2,0.190445,3,0.020883,0.026176,True
2000,620,3,0.216711,3,0.025152,0.031529,True
2000,660,1,0.183751,3,0.019831,0.024857,True
2000,660,2,0.190445,3,0.020883,0.026176,True
2000,660,3,0.216711,3,0.025152,0.031529,True
2000,700,1,0.346543,3,0.048950,0.061388,True
2000,700,2,0.345826,3,0.048808,0.061211,True
2000,700,3,0.377380,3,0.055125,0.069145,True
2000,740,1,0.346543,3,0.048950,0.061388,True
2000,740,2,0.345826,3,0.048808,0.061211,True
2000,740,3,0.377380,3,0.055125,0.069145,True
2000,780,1,0.346543,3,0.048950,0.061388,True
2000,780,2,0.345826,3,0.048808,0.061211,True
2000,780,3,0.377380,3,0.055125,0.069145,True
2000,820,1,0.346543,3,0.048950,0.061388,True
2000,820,2,0.345826,3,0.048808,0.061211,True
2000,820,3,0.377380,3,0.055125,0.069145,True
2000,860,1,0.706427,3,0.128309,0.161511,True
2000,860,2,0.616418,3,0.107336,0.134935,True
2000,860,3,0.604171,3,0.104523,0.131377,True
2000,900,1,0.706427,3,0.128309,0.161511,True
2000,900,2,0.616418,3,0.107336,0.134935,True
2000,900,3,0.604171,3,0.104523,0.131377,True
2000,940,1,0.706427,3,0.128309,0.161511,True
2000,940,2,0.616418,3,0.107336,0.134935,True
2000,940,3,0.604171,3,0.104523,0.131377,True
2000,980,1,0.706427,3,0.128309,0.161511,True
2000,980,2,0.616418,3,0.107336,0.134935,True
2000,980,3,0.604171,3,0.104523,0.131377,True
2000,1020,1,0.992039,3,0.196822,0.249236,True
2000,1020,2,0.861094,3,0.165195,0.208543,True
2000,1020,3,1.076884,3,0.217343,0.275858,True
5000,340,1,0.275339,3,0.035402,0.044385,True
5000,340,2,0.271118,3,0.034634,0.043421,True
5000,340,3,0.303925,3,0.040711,0.051046,True
5000,380,1,0.343216,3,0.048294,0.060565,True
5000,380,2,0.411937,3,0.062234,0.078078,True
5000,380,3,0.370050,3,0.053643,0.067282,True
5000,420,1,0.343216,3,0.048294,0.060565,True
5000,420,2,0.411937,3,0.062234,0.078078,True
5000,420,3,0.370050,3,0.053643,0.067282,True
5000,460,1,0.343216,3,0.048294,0.060565,True
5000,460,2,0.411937,3,0.062234,0.078078,True
5000,460,3,0.370050,3,0.053643,0.067282,True
5000,500,1,0.343216,3,0.048294,0.060565,True
5000,500,2,0.411937,3,0.062234,0.078078,True
5000,500,3,0.370050,3,0.053643,0.067282,True
5000,540,1,0.800482,3,0.150648,0.189946,True
5000,540,2,0.614232,3,0.106833,0.134298,True
5000,540,3,0.643798,3,0.113663,0.142941,True
5000,580,1,0.800482,3,0.150648,0.189946,True
5000,580,2,0.614232,3,0.106833,0.134298,True
5000,580,3,0.643798,3,0.113663,0.142941,True
5000,620,1,0.800482,3,0.150648,0.189946,True
5000,620,2,0.614232,3,0.106833,0.134298,True
5000,620,3,0.643798,3,0.113663,0.142941,True
