area,upper_cut,mean,std,n,n_total,n_excluded
14000,340,0.01448,0.00348,5,5,0
14000,380,0.06265,0.01198,5,5,0
14000,420,0.06265,0.01198,5,5,0
14000,460,0.17183,0.02674,5,5,0
14000,500,0.17183,0.02674,5,5,0
14000,540,0.28254,0.03071,5,5,0
14000,580,0.28254,0.03071,5,5,0
14000,620,0.50515,0.10863,5,5,0
14000,660,0.50515,0.10863,5,5,0
14000,700,0.76307,0.13936,5,5,0
14000,740,0.76307,0.13936,5,5,0
14000,780,1.02789,0.12197,5,5,0
14000,820,1.02789,0.12197,5,5,0
14000,860,1.42261,0.15063,5,5,0
14000,900,1.42261,0.15063,5,5,0
14000,940,1.38211,0.09988,5,5,0
14000,980,1.38211,0.09988,5,5,0
14000,1020,1.72323,0.13134,5,5,0
