area,upper_cut,run,nsigma,Q_DM,dofs,ok
14000,340,41,0.015899,0.135105,3,True
14000,340,42,0.018901,0.152126,3,True
14000,340,43,0.015552,0.133079,3,True
14000,340,44,0.010025,0.098629,3,True
14000,340,45,0.012035,0.111698,3,True
14000,380,41,0.073606,0.394755,3,True
14000,380,42,0.052869,0.311578,3,True
14000,380,43,0.049353,0.296752,3,True
14000,380,44,0.061347,0.346376,3,True
14000,380,45,0.076058,0.404203,3,True
14000,420,41,0.073606,0.394755,3,True
14000,420,42,0.052869,0.311578,3,True
14000,420,43,0.049353,0.296752,3,True
14000,420,44,0.061347,0.346376,3,True
14000,420,45,0.076058,0.404203,3,True
14000,460,41,0.218026,0.891790,3,True
14000,460,42,0.169111,0.731760,3,True
14000,460,43,0.162476,0.709653,3,True
14000,460,44,0.159710,0.700403,3,True
14000,460,45,0.149834,0.667177,3,True
14000,500,41,0.218026,0.891790,3,True
14000,500,42,0.169111,0.731760,3,True
14000,500,43,0.162476,0.709653,3,True
14000,500,44,0.159710,0.700403,3,True
14000,500,45,0.149834,0.667177,3,True
14000,540,41,0.238297,0.957017,3,True
14000,540,42,0.317529,1.209018,3,True
14000,540,43,0.271964,1.064503,3,True
14000,540,44,0.304350,1.167284,3,True
14000,540,45,0.280561,1.091827,3,True
14000,580,41,0.238297,0.957017,3,True
14000,580,42,0.317529,1.209018,3,True
14000,580,43,0.271964,1.064503,3,True
14000,580,44,0.304350,1.167284,3,True
14000,580,45,0.280561,1.091827,3,True
14000,620,41,0.462295,1.668902,3,True
14000,620,42,0.409646,1.500886,3,True
14000,620,43,0.410997,1.505183,3,True
14000,620,44,0.608077,2.143631,3,True
14000,620,45,0.634722,2.232324,3,True
14000,660,41,0.462295,1.668902,3,True
14000,660,42,0.409646,1.500886,3,True
14000,660,43,0.410997,1.505183,3,True
14000,660,44,0.608077,2.143631,3,True
14000,660,45,0.634722,2.232324,3,True
14000,700,41,0.951630,3.346051,3,True
14000,700,42,0.716944,2.510431,3,True
14000,700,43,0.592124,2.090842,3,True
14000,700,44,0.849355,2.973791,3,True
14000,700,45,0.705280,2.470553,3,True
14000,740,41,0.951630,3.346051,3,True
14000,740,42,0.716944,2.510431,3,True
14000,740,43,0.592124,2.090842,3,True
14000,740,44,0.849355,2.973791,3,True
14000,740,45,0.705280,2.470553,3,True
14000,780,41,0.919200,3.226591,3,True
14000,780,42,1.039344,3.675982,3,True
14000,780,43,1.022282,3.611009,3,True
14000,780,44,1.224644,4.407300,3,True
14000,780,45,0.933973,3.280843,3,True
14000,820,41,0.919200,3.226591,3,True
14000,820,42,1.039344,3.675982,3,True
14000,820,43,1.022282,3.611009,3,True
14000,820,44,1.224644,4.407300,3,True
14000,820,45,0.933973,3.280843,3,True
14000,860,41,1.327431,4.833971,3,True
14000,860,42,1.493758,5.557513,3,True
14000,860,43,1.653104,6.290299,3,True
14000,860,44,1.286208,4.661011,3,True
14000,860,45,1.352564,4.940652,3,True
14000,900,41,1.327431,4.833971,3,True
14000,900,42,1.493758,5.557513,3,True
14000,900,43,1.653104,6.290299,3,True
14000,900,44,1.286208,4.661011,3,True
14000,900,45,1.352564,4.940652,3,True
14000,940,41,1.361056,4.976906,3,True
14000,940,42,1.395649,5.125708,3,True
14000,940,43,1.538728,5.760337,3,True
14000,940,44,1.264950,4.572785,3,True
14000,940,45,1.350166,4.930432,3,True
14000,980,41,1.361056,4.976906,3,True
14000,980,42,1.395649,5.125708,3,True
14000,980,43,1.538728,5.760337,3,True
14000,980,44,1.264950,4.572785,3,True
14000,980,45,1.350166,4.930432,3,True
14000,1020,41,1.536240,5.749035,3,True
14000,1020,42,1.853185,7.267054,3,True
14000,1020,43,1.642530,6.240450,3,True
14000,1020,44,1.768126,6.843998,3,True
14000,1020,45,1.816079,7.081067,3,True
