area,upper_cut,mean,std,n,n_total,n_excluded
fullsky,100,0.00019,0.00006,5,5,0
fullsky,140,0.00585,0.00100,5,5,0
fullsky,180,0.00843,0.00166,5,5,0
fullsky,220,0.06705,0.00855,5,5,0
fullsky,260,0.18784,0.03964,5,5,0
fullsky,300,0.20556,0.04345,5,5,0
fullsky,340,0.35800,0.09858,5,5,0
fullsky,380,0.55009,0.12791,5,5,0
fullsky,420,0.96927,0.18740,5,5,0
fullsky,460,1.35741,0.49567,5,5,0
fullsky,500,1.18844,0.27445,5,5,0
fullsky,540,1.39548,0.53221,5,5,0
fullsky,580,2.41788,0.76236,5,5,0
fullsky,620,2.12480,0.48831,5,5,0
fullsky,660,2.84006,0.50378,5,5,0
fullsky,700,2.52319,0.35524,5,5,0
fullsky,740,2.82507,0.80624,5,5,0
fullsky,780,3.20051,0.46025,5,5,0
fullsky,820,3.02999,0.84604,5,5,0
fullsky,860,3.01627,0.67089,5,5,0
fullsky,900,2.90766,0.80896,5,5,0
fullsky,940,2.93020,0.34267,5,5,0
fullsky,980,3.34259,0.87484,5,5,0
fullsky,1020,3.26130,0.67997,5,5,0
