area,upper_cut,run,Q_DM,dofs,P,nsigma,ok
fullsky,100,1,0.009402,3,0.000242,0.000303,True
fullsky,100,2,0.006478,3,0.000138,0.000173,True
fullsky,100,3,0.006263,3,0.000132,0.000165,True
fullsky,100,4,0.006036,3,0.000124,0.000156,True
fullsky,100,5,0.005740,3,0.000115,0.000145,True
fullsky,140,1,0.070239,3,0.004848,0.006076,True
fullsky,140,2,0.077822,3,0.005641,0.007070,True
fullsky,140,3,0.063157,3,0.004142,0.005192,True
fullsky,140,4,0.072701,3,0.005101,0.006394,True
fullsky,140,5,0.057541,3,0.003608,0.004522,True
fullsky,180,1,0.081811,3,0.006073,0.007611,True
fullsky,180,2,0.085407,3,0.006471,0.008110,True
fullsky,180,3,0.091754,3,0.007192,0.009014,True
fullsky,180,4,0.104428,3,0.008699,0.010903,True
fullsky,180,5,0.073482,3,0.005182,0.006495,True
fullsky,220,1,0.355122,3,0.050651,0.063524,True
fullsky,220,2,0.328487,3,0.045415,0.056950,True
fullsky,220,3,0.414630,3,0.062796,0.078785,True
fullsky,220,4,0.389980,3,0.057696,0.072374,True
fullsky,220,5,0.355573,3,0.050741,0.063637,True
fullsky,260,1,1.009242,3,0.200984,0.254621,True
fullsky,260,2,0.678587,3,0.121771,0.153215,True
fullsky,260,3,0.759155,3,0.140790,0.177380,True
fullsky,260,4,0.718488,3,0.131153,0.165123,True
fullsky,260,5,0.796924,3,0.149797,0.188860,True
fullsky,300,1,1.019292,3,0.203416,0.257770,True
fullsky,300,2,0.712143,3,0.129656,0.163221,True
fullsky,300,3,0.973362,3,0.192303,0.243398,True
fullsky,300,4,0.823359,3,0.156128,0.196943,True
fullsky,300,5,0.722993,3,0.132217,0.166475,True
fullsky,340,1,1.315384,3,0.274517,0.351140,True
fullsky,340,2,1.050443,3,0.210951,0.267546,True
fullsky,340,3,1.028507,3,0.205645,0.260660,True
fullsky,340,4,1.540151,3,0.326965,0.421986,True
fullsky,340,5,1.753580,3,0.374912,0.488652,True
fullsky,380,1,2.346915,3,0.496407,0.668847,True
fullsky,380,2,1.992655,3,0.426068,0.562269,True
fullsky,380,3,1.983972,3,0.424260,0.559618,True
fullsky,380,4,2.194674,3,0.467002,0.623436,True
fullsky,380,5,1.268297,3,0.263325,0.336260,True
fullsky,420,1,3.054265,3,0.616666,0.871770,True
fullsky,420,2,2.494188,3,0.523658,0.712198,True
fullsky,420,3,4.352354,3,0.774156,1.211134,True
fullsky,420,4,3.607574,3,0.692924,1.021377,True
fullsky,420,5,3.639855,3,0.696929,1.029870,True
fullsky,460,1,4.870782,3,0.818493,1.336128,True
fullsky,460,2,6.135420,3,0.894796,1.620130,True
fullsky,460,3,1.884853,3,0.403354,0.529230,True
fullsky,460,4,7.085619,3,0.930782,1.816992,True
fullsky,460,5,5.516374,3,0.862337,1.484552,True
fullsky,500,1,4.697770,3,0.804686,1.295019,True
fullsky,500,2,6.122847,3,0.894216,1.617437,True
fullsky,500,3,3.344950,3,0.658565,0.951333,True
fullsky,500,4,3.870800,3,0.724242,1.089899,True
fullsky,500,5,3.483630,3,0.677109,0.988533,True
fullsky,540,1,5.241626,3,0.845065,1.422313,True
fullsky,540,2,4.765933,3,0.810239,1.311286,True
fullsky,540,3,4.733927,3,0.807650,1.303659,True
fullsky,540,4,9.190930,3,0.973143,2.213587,True
fullsky,540,5,2.543449,3,0.532510,0.726569,True
fullsky,580,1,7.618681,3,0.945414,1.922156,True
fullsky,580,2,19.430915,3,0.999777,3.691808,True
fullsky,580,3,7.668218,3,0.946610,1.931752,True
fullsky,580,4,7.889272,3,0.951644,1.974223,True
fullsky,580,5,11.304968,3,0.989814,2.569447,True
fullsky,620,1,6.141026,3,0.895053,1.621329,True
fullsky,620,2,8.839029,3,0.968491,2.150579,True
fullsky,620,3,13.651559,3,0.996580,2.927232,True
fullsky,620,4,7.626382,3,0.945601,1.923649,True
fullsky,620,5,8.031364,3,0.954632,2.001227,True
fullsky,660,1,14.278697,3,0.997451,3.017424,True
fullsky,660,2,7.755855,3,0.948664,1.948657,True
fullsky,660,3,14.919269,3,0.998113,3.107471,True
fullsky,660,4,13.938795,3,0.997010,2.968799,True
fullsky,660,5,15.284614,3,0.998411,3.157938,True
fullsky,700,1,12.319379,3,0.993635,2.728336,True
fullsky,700,2,13.450410,3,0.996243,2.897856,True
fullsky,700,3,11.807239,3,0.991926,2.648980,True
fullsky,700,4,8.028738,3,0.954579,2.000730,True
fullsky,700,5,9.917403,3,0.980719,2.340044,True
fullsky,740,1,17.219565,3,0.999363,3.415381,True
fullsky,740,2,11.709280,3,0.991552,2.633604,True
fullsky,740,3,19.144416,3,0.999745,3.656954,True
fullsky,740,4,12.980862,3,0.995322,2.828397,True
