area,upper_cut,mean,std,n,n_total,n_excluded
2000,340,0.00084,0.00013,5,5,0
2000,380,0.00175,0.00024,5,5,0
2000,420,0.00722,0.00122,5,5,0
2000,460,0.01010,0.00178,5,5,0
2000,500,0.01903,0.00104,5,5,0
2000,540,0.02823,0.00259,5,5,0
2000,580,0.04044,0.00650,5,5,0
2000,620,0.05921,0.00512,5,5,0
2000,660,0.07836,0.01327,5,5,0
2000,700,0.09384,0.00897,5,5,0
2000,740,0.14698,0.02687,5,5,0
2000,780,0.15715,0.01666,5,5,0
2000,820,0.22225,0.02012,5,5,0
2000,860,0.24684,0.02125,5,5,0
2000,900,0.35478,0.05285,5,5,0
2000,940,0.32491,0.05293,5,5,0
2000,980,0.46195,0.04644,5,5,0
2000,1020,0.43271,0.05999,5,5,0
5000,340,0.00515,0.00060,5,5,0
5000,380,0.01112,0.00130,5,5,0
5000,420,0.03520,0.00725,5,5,0
5000,460,0.06737,0.01032,5,5,0
5000,500,0.10201,0.01383,5,5,0
5000,540,0.11648,0.02129,5,5,0
5000,580,0.23760,0.02436,5,5,0
5000,620,0.32521,0.05289,5,5,0
5000,660,0.43054,0.04484,5,5,0
5000,700,0.45848,0.10023,5,5,0
5000,740,0.63992,0.06286,5,5,0
5000,780,0.63169,0.11911,5,5,0
5000,820,0.75553,0.12880,5,5,0
5000,860,0.91615,0.07099,5,5,0
5000,900,0.92946,0.21263,5,5,0
5000,940,1.09315,0.14158,5,5,0
5000,980,1.27165,0.14116,5,5,0
5000,1020,1.25352,0.13211,5,5,0
10000,340,0.01640,0.00166,5,5,0
10000,380,0.04234,0.00412,5,5,0
10000,420,0.09531,0.01071,5,5,0
10000,460,0.17382,0.01979,5,5,0
10000,500,0.27908,0.05056,5,5,0
10000,540,0.29014,0.03875,5,5,0
10000,580,0.48762,0.05526,5,5,0
10000,620,0.55098,0.09200,5,5,0
10000,660,0.78156,0.08336,5,5,0
10000,700,0.87026,0.14973,5,5,0
10000,740,1.13077,0.10795,5,5,0
10000,780,1.16245,0.16124,5,5,0
10000,820,1.25401,0.26206,5,5,0
10000,860,1.53364,0.28496,5,5,0
10000,900,1.67157,0.19712,5,5,0
10000,940,1.82142,0.25999,5,5,0
10000,980,2.01047,0.30431,5,5,0
10000,1020,2.02219,0.23471,5,5,0
14000,340,0.03834,0.00711,5,5,0
14000,380,0.07440,0.00543,5,5,0
14000,420,0.19268,0.03221,5,5,0
14000,460,0.28757,0.04161,5,5,0
14000,500,0.41326,0.04196,5,5,0
14000,540,0.56473,0.07709,5,5,0
14000,580,0.71031,0.02493,5,5,0
14000,620,0.83075,0.13717,5,5,0
14000,660,1.13568,0.07000,5,5,0
14000,700,1.07998,0.14434,5,5,0
14000,740,1.47658,0.23635,5,5,0
14000,780,1.22086,0.19144,5,5,0
14000,820,1.43241,0.18675,5,5,0
14000,860,1.86443,0.47150,5,5,0
14000,900,1.73508,0.19390,5,5,0
14000,940,2.13016,0.35997,5,5,0
14000,980,2.17730,0.34103,5,5,0
14000,1020,2.21833,0.22365,5,5,0
28000,340,0.11478,0.01989,5,5,0
28000,380,0.22572,0.01795,5,5,0
28000,420,0.45035,0.01827,5,5,0
28000,460,0.68243,0.07560,5,5,0
28000,500,1.00399,0.08243,5,5,0
28000,540,1.07829,0.15932,5,5,0
28000,580,1.32191,0.14847,5,5,0
28000,620,1.56425,0.27501,5,5,0
28000,660,2.08122,0.23269,5,5,0
28000,700,1.90618,0.27945,5,5,0
28000,740,2.14942,0.31980,5,5,0
28000,780,2.16424,0.18190,5,5,0
28000,820,2.23222,0.21350,5,5,0
28000,860,3.03574,0.55885,5,5,0
28000,900,2.48010,0.28348,5,5,0
28000,940,3.08246,0.34134,5,5,0
28000,980,2.90993,0.74405,5,5,0
28000,1020,2.90651,0.65430,5,5,0
35000,340,0.14503,0.01459,5,5,0
35000,380,0.31052,0.02548,5,5,0
35000,420,0.59202,0.08944,5,5,0
35000,460,0.91105,0.02884,5,5,0
35000,500,1.48186,0.18125,5,5,0
35000,540,1.24839,0.09567,5,5,0
35000,580,1.59540,0.29357,5,5,0
35000,620,1.95390,0.34514,5,5,0
35000,660,2.46417,0.42732,5,5,0
35000,700,2.25474,0.24366,5,5,0
35000,740,2.73335,0.41004,5,5,0
35000,780,2.50222,0.16880,5,5,0
35000,820,2.68652,0.56412,5,5,0
35000,860,3.29155,0.47903,5,5,0
35000,900,2.90450,0.23953,5,5,0
35000,940,2.96962,0.55781,5,5,0
35000,980,3.18871,0.39490,5,5,0
35000,1020,3.56436,0.33972,5,5,0
