area,upper_cut,run,Q_DM,dofs,P,nsigma,ok
2000,340,1,0.021148,3,0.000813,0.001019,True
2000,340,2,0.018843,3,0.000684,0.000857,True
2000,340,3,0.017724,3,0.000624,0.000782,True
2000,340,4,0.019016,3,0.000693,0.000869,True
2000,340,5,0.015813,3,0.000526,0.000660,True
2000,380,1,0.033638,3,0.001624,0.002036,True
2000,380,2,0.027007,3,0.001171,0.001467,True
2000,380,3,0.028075,3,0.001241,0.001555,True
2000,380,4,0.030795,3,0.001424,0.001785,True
2000,380,5,0.032180,3,0.001521,0.001906,True
2000,420,1,0.066189,3,0.004440,0.005565,True
2000,420,2,0.074559,3,0.005295,0.006637,True
2000,420,3,0.086727,3,0.006619,0.008296,True
2000,420,4,0.077826,3,0.005641,0.007071,True
2000,420,5,0.088258,3,0.006792,0.008512,True
2000,460,1,0.112434,3,0.009695,0.012152,True
2000,460,2,0.080251,3,0.005903,0.007398,True
2000,460,3,0.097830,3,0.007903,0.009906,True
2000,460,4,0.097762,3,0.007895,0.009895,True
2000,460,5,0.106048,3,0.008898,0.011152,True
2000,500,1,0.143779,3,0.013890,0.017410,True
2000,500,2,0.155151,3,0.015518,0.019450,True
2000,500,3,0.154494,3,0.015422,0.019330,True
2000,500,4,0.159139,3,0.016101,0.020181,True
2000,500,5,0.151329,3,0.014965,0.018757,True
2000,540,1,0.206291,3,0.023433,0.029373,True
2000,540,2,0.197880,3,0.022069,0.027663,True
2000,540,3,0.184857,3,0.020004,0.025074,True
2000,540,4,0.194937,3,0.021598,0.027072,True
2000,540,5,0.218776,3,0.025497,0.031962,True
2000,580,1,0.232146,3,0.027760,0.034799,True
2000,580,2,0.259752,3,0.032589,0.040855,True
2000,580,3,0.258398,3,0.032347,0.040552,True
2000,580,4,0.233575,3,0.028005,0.035106,True
2000,580,5,0.303161,3,0.040567,0.050865,True
2000,620,1,0.346057,3,0.048854,0.061268,True
2000,620,2,0.315775,3,0.042965,0.053875,True
2000,620,3,0.363453,3,0.052316,0.065615,True
2000,620,4,0.316435,3,0.043092,0.054034,True
2000,620,5,0.345999,3,0.048843,0.061254,True
2000,660,1,0.401781,3,0.060126,0.075428,True
2000,660,2,0.386662,3,0.057016,0.071520,True
2000,660,3,0.370552,3,0.053744,0.067409,True
2000,660,4,0.404800,3,0.060751,0.076214,True
2000,660,5,0.497907,3,0.080649,0.101251,True
2000,700,1,0.445153,3,0.069235,0.086883,True
2000,700,2,0.522633,3,0.086108,0.108131,True
2000,700,3,0.443143,3,0.068807,0.086344,True
2000,700,4,0.480579,3,0.076863,0.096483,True
2000,700,5,0.461810,3,0.072802,0.091371,True
2000,740,1,0.757256,3,0.140339,0.176806,True
2000,740,2,0.553863,3,0.093092,0.116939,True
2000,740,3,0.728057,3,0.133414,0.167997,True
2000,740,4,0.672310,3,0.120303,0.151354,True
2000,740,5,0.570879,3,0.096935,0.121790,True
2000,780,1,0.704896,3,0.127948,0.161053,True
2000,780,2,0.694064,3,0.125401,0.157819,True
2000,780,3,0.766538,3,0.142547,0.179618,True
2000,780,4,0.681913,3,0.122550,0.154203,True
2000,780,5,0.609939,3,0.105847,0.133051,True
2000,820,1,0.939093,3,0.184015,0.232712,True
2000,820,2,0.945557,3,0.185578,0.234725,True
2000,820,3,0.951176,3,0.186936,0.236476,True
2000,820,4,0.795661,3,0.149495,0.188475,True
2000,820,5,0.894475,3,0.173239,0.218858,True
2000,860,1,0.900986,3,0.174810,0.220875,True
2000,860,2,1.027222,3,0.205335,0.260257,True
2000,860,3,0.924730,3,0.180544,0.228245,True
2000,860,4,1.009272,3,0.200992,0.254631,True
2000,860,5,1.058871,3,0.212989,0.270194,True
2000,900,1,1.083103,3,0.218845,0.277815,True
2000,900,2,1.226085,3,0.253245,0.322921,True
2000,900,3,1.461789,3,0.308883,0.397340,True
2000,900,4,1.465662,3,0.309782,0.398559,True
2000,900,5,1.398121,3,0.294025,0.377267,True
2000,940,1,1.292835,3,0.269165,0.344015,True
2000,940,2,1.458223,3,0.308055,0.396216,True
2000,940,3,1.102122,3,0.223438,0.283802,True
2000,940,4,1.034388,3,0.207068,0.262505,True
2000,940,5,1.273779,3,0.264631,0.337993,True
2000,980,1,1.781058,3,0.380934,0.497175,True
2000,980,2,1.573818,3,0.334659,0.432551,True
2000,980,3,1.565736,3,0.332816,0.430017,True
2000,980,4,1.873690,3,0.400968,0.525793,True
2000,980,5,1.547213,3,0.328583,0.424204,True
2000,1020,1,1.723719,3,0.368327,0.479373,True
2000,1020,2,1.499146,3,0.317533,0.409098,True
2000,1020,3,1.446333,3,0.305289,0.392470,True
2000,1020,4,1.378166,3,0.289339,0.370969,True
2000,1020,5,1.827780,3,0.391091,0.511632,True
5000,340,1,0.056925,3,0.003551,0.004451,True
5000,340,2,0.063462,3,0.004172,0.005229,True
5000,340,3,0.062271,3,0.004056,0.005084,True
5000,340,4,0.070322,3,0.004856,0.006087,True
5000,340,5,0.060677,3,0.003904,0.004892,True
5000,380,1,0.103142,3,0.008542,0.010706,True
5000,380,2,0.096141,3,0.007704,0.009655,True
5000,380,3,0.101267,3,0.008315,0.010422,True
5000,380,4,0.110673,3,0.009473,0.011874,True
5000,380,5,0.117404,3,0.010330,0.012947,True
5000,420,1,0.248894,3,0.030665,0.038442,True
5000,420,2,0.192093,3,0.021144,0.026504,True
5000,420,3,0.272634,3,0.034910,0.043767,True
5000,420,4,0.248799,3,0.030648,0.038422,True
5000,420,5,0.203762,3,0.023020,0.028856,True
5000,460,1,0.322899,3,0.044334,0.055593,True
5000,460,2,0.364997,3,0.052625,0.066004,True
5000,460,3,0.424119,3,0.064784,0.081284,True
5000,460,4,0.395353,3,0.058799,0.073761,True
5000,460,5,0.341785,3,0.048013,0.060211,True
5000,500,1,0.452232,3,0.070747,0.088784,True
