statistic,area,cut,status,n_seeds,runs,fom3_pooled,fom3_mean,fom3_std,ratio
Power spectrum,2000,l37-860,ok,4,1 2 3 5,2.252361e+04,2.281016e+04,1.397216e+03,1.000
Peak counts,2000,scales234,ok,6,1 1 2 3 4 5,1.040172e+04,1.064513e+04,1.366685e+03,0.467
L1 norm,2000,scales234,ok,5,1 2 3 4 5,2.613134e+04,2.681973e+04,2.407499e+03,1.176
Power spectrum,5000,l37-580,ok,5,1 2 3 4 5,4.879219e+04,5.007309e+04,6.140483e+03,1.000
Peak counts,5000,scales234,ok,6,1 1 2 3 4 5,3.914797e+04,4.063021e+04,5.271840e+03,0.811
L1 norm,5000,scales234,ok,5,1 2 3 4 5,9.911922e+04,1.028697e+05,3.808440e+03,2.054
Power spectrum,10000,l37-540,ok,5,1 2 3 4 5,1.129570e+05,1.173837e+05,1.590701e+04,1.000
Peak counts,10000,scales234,ok,6,1 1 2 3 4 5,8.864244e+04,9.513844e+04,2.068050e+04,0.810
L1 norm,10000,scales234,ok,5,1 2 3 4 5,1.797997e+05,2.108070e+05,6.790973e+04,1.796
Power spectrum,14000,l37-460,ok,5,1 2 3 4 5,1.415164e+05,1.450581e+05,9.460802e+03,1.000
Peak counts,14000,scales234,ok,6,1 1 2 3 4 5,1.416739e+05,1.548298e+05,3.485993e+04,1.067
L1 norm,14000,scales234,ok,5,1 2 3 4 5,2.236736e+05,2.610197e+05,8.237872e+04,1.799
Power spectrum,28000,l37-380,ok,5,1 2 3 4 5,2.114550e+05,2.196689e+05,1.346468e+04,1.000
Peak counts,28000,scales234,ok,5,1 2 3 4 5,3.551789e+05,3.960543e+05,1.007009e+05,1.803
L1 norm,28000,scales234,ok,5,1 2 3 4 5,6.710565e+05,7.952184e+05,1.582718e+05,3.620
Power spectrum,35000,l37-340,ok,5,1 2 3 4 5,2.012088e+05,2.060674e+05,1.623677e+04,1.000
Peak counts,35000,scales234,ok,5,1 2 3 4 5,6.275702e+05,6.966491e+05,1.566561e+05,3.381
L1 norm,35000,scales234,ok,5,1 2 3 4 5,1.089108e+06,1.138590e+06,1.332435e+05,5.525
Power spectrum,fullsky,l37-340,ok,5,1 2 3 4 5,4.795046e+05,5.488258e+05,2.892293e+04,1.000
Peak counts,fullsky,scales234,ok,5,1 2 3 4 5,5.926398e+05,6.397403e+05,7.190874e+04,1.166
L1 norm,fullsky,scales234,ok,5,1 2 3 4 5,1.312361e+06,1.434452e+06,2.139374e+05,2.614
