series,area_sqdeg,upper_cut_lmax,nsigma,nsigma_err,n_seeds,errbar_kind
BNT bin-1 only,2000,340,0.008700,0.001600,3,std
BNT bin-1 only,2000,380,0.012410,0.002550,3,std
BNT bin-1 only,2000,420,0.012410,0.002550,3,std
BNT bin-1 only,2000,460,0.012410,0.002550,3,std
BNT bin-1 only,2000,500,0.012410,0.002550,3,std
BNT bin-1 only,2000,540,0.027520,0.003530,3,std
BNT bin-1 only,2000,580,0.027520,0.003530,3,std
BNT bin-1 only,2000,620,0.027520,0.003530,3,std
BNT bin-1 only,2000,660,0.027520,0.003530,3,std
BNT bin-1 only,2000,700,0.063910,0.004530,3,std
BNT bin-1 only,2000,740,0.063910,0.004530,3,std
BNT bin-1 only,2000,780,0.063910,0.004530,3,std
BNT bin-1 only,2000,820,0.063910,0.004530,3,std
BNT bin-1 only,2000,860,0.142610,0.016470,3,std
BNT bin-1 only,2000,900,0.142610,0.016470,3,std
BNT bin-1 only,2000,940,0.142610,0.016470,3,std
BNT bin-1 only,2000,980,0.142610,0.016470,3,std
BNT bin-1 only,2000,1020,0.244550,0.033900,3,std
BNT bin-1 only,5000,340,0.046280,0.004150,3,std
BNT bin-1 only,5000,380,0.068640,0.008840,3,std
BNT bin-1 only,5000,420,0.068640,0.008840,3,std
BNT bin-1 only,5000,460,0.068640,0.008840,3,std
BNT bin-1 only,5000,500,0.068640,0.008840,3,std
BNT bin-1 only,5000,540,0.155730,0.029950,3,std
BNT bin-1 only,5000,580,0.155730,0.029950,3,std
BNT bin-1 only,5000,620,0.155730,0.029950,3,std
BNT bin-1 only,5000,660,0.155730,0.029950,3,std
BNT bin-1 only,5000,700,0.263270,0.026970,3,std
BNT bin-1 only,5000,740,0.263270,0.026970,3,std
BNT bin-1 only,5000,780,0.263270,0.026970,3,std
BNT bin-1 only,5000,820,0.263270,0.026970,3,std
BNT bin-1 only,5000,860,0.552130,0.033700,3,std
BNT bin-1 only,5000,900,0.552130,0.033700,3,std
BNT bin-1 only,5000,940,0.552130,0.033700,3,std
BNT bin-1 only,5000,980,0.552130,0.033700,3,std
BNT bin-1 only,5000,1020,0.808130,0.062600,3,std
BNT bin-1 only,10000,340,0.115040,0.009240,3,std
BNT bin-1 only,10000,380,0.190950,0.026100,3,std
BNT bin-1 only,10000,420,0.190950,0.026100,3,std
BNT bin-1 only,10000,460,0.190950,0.026100,3,std
BNT bin-1 only,10000,500,0.190950,0.026100,3,std
BNT bin-1 only,10000,540,0.489130,0.088350,3,std
BNT bin-1 only,10000,580,0.489130,0.088350,3,std
BNT bin-1 only,10000,620,0.489130,0.088350,3,std
BNT bin-1 only,10000,660,0.489130,0.088350,3,std
BNT bin-1 only,10000,700,0.750540,0.153220,3,std
BNT bin-1 only,10000,740,0.750540,0.153220,3,std
BNT bin-1 only,10000,780,0.750540,0.153220,3,std
BNT bin-1 only,10000,820,0.750540,0.153220,3,std
BNT bin-1 only,10000,860,1.186290,0.093500,3,std
BNT bin-1 only,10000,900,1.186290,0.093500,3,std
BNT bin-1 only,10000,940,1.186290,0.093500,3,std
BNT bin-1 only,10000,980,1.186290,0.093500,3,std
BNT bin-1 only,10000,1020,1.313460,0.188390,3,std
BNT bin-1 only,14000,340,0.229790,0.053600,3,std
BNT bin-1 only,14000,380,0.343550,0.034500,3,std
BNT bin-1 only,14000,420,0.343550,0.034500,3,std
BNT bin-1 only,14000,460,0.343550,0.034500,3,std
BNT bin-1 only,14000,500,0.343550,0.034500,3,std
BNT bin-1 only,14000,540,0.644270,0.022650,3,std
BNT bin-1 only,14000,580,0.644270,0.022650,3,std
BNT bin-1 only,14000,620,0.644270,0.022650,3,std
BNT bin-1 only,14000,660,0.644270,0.022650,3,std
BNT bin-1 only,14000,700,1.001970,0.145280,3,std
BNT bin-1 only,14000,740,1.001970,0.145280,3,std
BNT bin-1 only,14000,780,1.001970,0.145280,3,std
BNT bin-1 only,14000,820,1.001970,0.145280,3,std
BNT bin-1 only,14000,860,1.572680,0.321480,3,std
BNT bin-1 only,14000,900,1.572680,0.321480,3,std
BNT bin-1 only,14000,940,1.572680,0.321480,3,std
BNT bin-1 only,14000,980,1.572680,0.321480,3,std
BNT bin-1 only,14000,1020,1.681660,0.190190,3,std
BNT bin-1 only,28000,340,0.494070,0.128010,3,std
BNT bin-1 only,28000,380,0.775840,0.141490,3,std
BNT bin-1 only,28000,420,0.775840,0.141490,3,std
BNT bin-1 only,28000,460,0.775840,0.141490,3,std
BNT bin-1 only,28000,500,0.775840,0.141490,3,std
BNT bin-1 only,28000,540,1.302040,0.172320,3,std
BNT bin-1 only,28000,580,1.302040,0.172320,3,std
BNT bin-1 only,28000,620,1.302040,0.172320,3,std
BNT bin-1 only,28000,660,1.302040,0.172320,3,std
BNT bin-1 only,28000,700,2.209080,0.316580,3,std
BNT bin-1 only,28000,740,2.209080,0.316580,3,std
BNT bin-1 only,28000,780,2.209080,0.316580,3,std
BNT bin-1 only,28000,820,2.209080,0.316580,3,std
BNT bin-1 only,28000,860,2.546450,0.483180,3,std
BNT bin-1 only,28000,900,2.546450,0.483180,3,std
BNT bin-1 only,28000,940,2.546450,0.483180,3,std
BNT bin-1 only,28000,980,2.546450,0.483180,3,std
BNT bin-1 only,28000,1020,2.866140,0.037260,3,std
BNT bin-1 only,35000,340,0.692940,0.126750,3,std
BNT bin-1 only,35000,380,0.969730,0.135720,3,std
BNT bin-1 only,35000,420,0.969730,0.135720,3,std
BNT bin-1 only,35000,460,0.969730,0.135720,3,std
BNT bin-1 only,35000,500,0.969730,0.135720,3,std
BNT bin-1 only,35000,540,1.670580,0.094810,3,std
BNT bin-1 only,35000,580,1.670580,0.094810,3,std
BNT bin-1 only,35000,620,1.670580,0.094810,3,std
BNT bin-1 only,35000,660,1.670580,0.094810,3,std
BNT bin-1 only,35000,700,2.724130,0.424740,3,std
BNT bin-1 only,35000,740,2.724130,0.424740,3,std
BNT bin-1 only,35000,780,2.724130,0.424740,3,std
BNT bin-1 only,35000,820,2.724130,0.424740,3,std
BNT bin-1 only,35000,860,3.330570,0.219260,3,std
BNT bin-1 only,35000,900,3.330570,0.219260,3,std
BNT bin-1 only,35000,940,3.330570,0.219260,3,std
BNT bin-1 only,35000,980,3.330570,0.219260,3,std
BNT bin-1 only,35000,1020,3.532100,0.685830,3,std
non-BNT cut all,2000,340,0.000840,0.000130,5,std
non-BNT cut all,2000,380,0.001750,0.000240,5,std
non-BNT cut all,2000,420,0.007220,0.001220,5,std
non-BNT cut all,2000,460,0.010100,0.001780,5,std
non-BNT cut all,2000,500,0.019030,0.001040,5,std
non-BNT cut all,2000,540,0.028230,0.002590,5,std
non-BNT cut all,2000,580,0.040440,0.006500,5,std
non-BNT cut all,2000,620,0.059210,0.005120,5,std
non-BNT cut all,2000,660,0.078360,0.013270,5,std
non-BNT cut all,2000,700,0.093840,0.008970,5,std
non-BNT cut all,2000,740,0.146980,0.026870,5,std
non-BNT cut all,2000,780,0.157150,0.016660,5,std
non-BNT cut all,2000,820,0.222250,0.020120,5,std
non-BNT cut all,2000,860,0.246840,0.021250,5,std
non-BNT cut all,2000,900,0.354780,0.052850,5,std
non-BNT cut all,2000,940,0.324910,0.052930,5,std
non-BNT cut all,2000,980,0.461950,0.046440,5,std
non-BNT cut all,2000,1020,0.432710,0.059990,5,std
non-BNT cut all,5000,340,0.005150,0.000600,5,std
