series,area_sqdeg,upper_cut_lmax,nsigma,nsigma_err,n_seeds,errbar_kind
BNT bin-1 only,2000,340,0.002890,0.000910,5,std
BNT bin-1 only,2000,380,0.001880,0.000320,5,std
BNT bin-1 only,2000,420,0.003200,0.000430,5,std
BNT bin-1 only,2000,460,0.003430,0.000800,5,std
BNT bin-1 only,2000,500,0.005260,0.000650,5,std
BNT bin-1 only,2000,540,0.006700,0.001370,5,std
BNT bin-1 only,2000,580,0.008120,0.001640,5,std
BNT bin-1 only,2000,620,0.008290,0.002580,5,std
BNT bin-1 only,2000,660,0.012140,0.001690,5,std
BNT bin-1 only,2000,700,0.017140,0.003300,5,std
BNT bin-1 only,2000,740,0.018390,0.004700,5,std
BNT bin-1 only,2000,780,0.017650,0.004060,5,std
BNT bin-1 only,2000,820,0.023610,0.003730,5,std
BNT bin-1 only,2000,860,0.020800,0.003120,5,std
BNT bin-1 only,2000,900,0.028920,0.005240,5,std
BNT bin-1 only,2000,940,0.029980,0.004700,5,std
BNT bin-1 only,2000,980,0.033870,0.002080,5,std
BNT bin-1 only,2000,1020,0.034960,0.004280,5,std
BNT bin-1 only,5000,340,0.016830,0.005200,5,std
BNT bin-1 only,5000,380,0.021870,0.010080,5,std
BNT bin-1 only,5000,420,0.020420,0.005390,5,std
BNT bin-1 only,5000,460,0.019900,0.003840,5,std
BNT bin-1 only,5000,500,0.032730,0.006000,5,std
BNT bin-1 only,5000,540,0.046410,0.013930,5,std
BNT bin-1 only,5000,580,0.051180,0.016730,5,std
BNT bin-1 only,5000,620,0.049520,0.017620,5,std
BNT bin-1 only,5000,660,0.080700,0.015090,5,std
BNT bin-1 only,5000,700,0.090890,0.037250,5,std
BNT bin-1 only,5000,740,0.086880,0.029640,5,std
BNT bin-1 only,5000,780,0.103080,0.012090,5,std
BNT bin-1 only,5000,820,0.177390,0.052180,5,std
BNT bin-1 only,5000,860,0.119350,0.014760,5,std
BNT bin-1 only,5000,900,0.162110,0.051990,5,std
BNT bin-1 only,5000,940,0.142530,0.025290,5,std
BNT bin-1 only,5000,980,0.162860,0.028530,5,std
BNT bin-1 only,5000,1020,0.135960,0.034270,5,std
BNT bin-1 only,10000,340,0.055460,0.013610,5,std
BNT bin-1 only,10000,380,0.062100,0.011640,5,std
BNT bin-1 only,10000,420,0.087860,0.026370,5,std
BNT bin-1 only,10000,460,0.088760,0.009630,5,std
BNT bin-1 only,10000,500,0.138730,0.051860,5,std
BNT bin-1 only,10000,540,0.191860,0.070820,5,std
BNT bin-1 only,10000,580,0.149960,0.041820,5,std
BNT bin-1 only,10000,620,0.202500,0.058280,5,std
BNT bin-1 only,10000,660,0.199580,0.065640,5,std
BNT bin-1 only,10000,700,0.263470,0.050800,5,std
BNT bin-1 only,10000,740,0.230220,0.047790,5,std
BNT bin-1 only,10000,780,0.409010,0.045430,5,std
BNT bin-1 only,10000,820,0.466970,0.157820,5,std
BNT bin-1 only,10000,860,0.381160,0.053490,5,std
BNT bin-1 only,10000,900,0.468690,0.131060,5,std
BNT bin-1 only,10000,940,0.515550,0.069140,5,std
BNT bin-1 only,10000,980,0.457980,0.097800,5,std
BNT bin-1 only,10000,1020,0.428780,0.042260,5,std
BNT bin-1 only,14000,340,0.085600,0.016880,5,std
BNT bin-1 only,14000,380,0.140150,0.026230,5,std
BNT bin-1 only,14000,420,0.177080,0.056360,5,std
BNT bin-1 only,14000,460,0.213310,0.034990,5,std
BNT bin-1 only,14000,500,0.237930,0.032000,5,std
BNT bin-1 only,14000,540,0.269130,0.084780,5,std
BNT bin-1 only,14000,580,0.213110,0.050450,5,std
BNT bin-1 only,14000,620,0.388100,0.146420,5,std
BNT bin-1 only,14000,660,0.308380,0.071760,5,std
BNT bin-1 only,14000,700,0.430330,0.124090,5,std
BNT bin-1 only,14000,740,0.397850,0.139320,5,std
BNT bin-1 only,14000,780,0.579690,0.091340,5,std
BNT bin-1 only,14000,820,0.543900,0.171290,5,std
BNT bin-1 only,14000,860,0.465380,0.058090,5,std
BNT bin-1 only,14000,900,0.621820,0.111830,5,std
BNT bin-1 only,14000,940,0.609440,0.172910,5,std
BNT bin-1 only,14000,980,0.632150,0.108750,5,std
BNT bin-1 only,14000,1020,0.553610,0.185290,5,std
BNT bin-1 only,28000,340,0.364920,0.117810,5,std
BNT bin-1 only,28000,380,0.522620,0.139330,5,std
BNT bin-1 only,28000,420,0.470560,0.053480,5,std
BNT bin-1 only,28000,460,0.444270,0.100680,5,std
BNT bin-1 only,28000,500,0.411780,0.067930,5,std
BNT bin-1 only,28000,540,0.625240,0.110850,5,std
BNT bin-1 only,28000,580,0.645430,0.091040,5,std
BNT bin-1 only,28000,620,0.771730,0.182290,5,std
BNT bin-1 only,28000,660,0.747460,0.242450,5,std
BNT bin-1 only,28000,700,0.624090,0.110280,5,std
BNT bin-1 only,28000,740,0.924630,0.313830,5,std
