statistic,role,area_sqdeg,parameter,mean,std,truth,n_seeds,n_samples,runs
L1 norm,biased,2000,Om,0.257225,0.020677,0.26,6,18000,1 2 4 5 6 8
L1 norm,biased,2000,S8,0.818064,0.026232,0.84,6,18000,1 2 4 5 6 8
L1 norm,biased,2000,w0,-1.162094,0.105812,-1.0,6,18000,1 2 4 5 6 8
L1 norm,biased,5000,Om,0.252338,0.015112,0.26,9,27000,2 3 4 5 6 7 8 9 10
L1 norm,biased,5000,S8,0.816285,0.018334,0.84,9,27000,2 3 4 5 6 7 8 9 10
L1 norm,biased,5000,w0,-1.207829,0.083337,-1.0,9,27000,2 3 4 5 6 7 8 9 10
L1 norm,biased,10000,Om,0.249339,0.012408,0.26,8,24000,2 3 4 6 7 8 9 10
L1 norm,biased,10000,S8,0.820182,0.014999,0.84,8,24000,2 3 4 6 7 8 9 10
L1 norm,biased,10000,w0,-1.223042,0.070384,-1.0,8,24000,2 3 4 6 7 8 9 10
L1 norm,biased,14000,Om,0.251842,0.011296,0.26,5,15000,2 4 6 7 10
L1 norm,biased,14000,S8,0.816461,0.012913,0.84,5,15000,2 4 6 7 10
L1 norm,biased,14000,w0,-1.210077,0.071759,-1.0,5,15000,2 4 6 7 10
L1 norm,biased,28000,Om,0.252077,0.008036,0.26,7,21000,2 4 5 6 7 9 10
L1 norm,biased,28000,S8,0.817744,0.009764,0.84,7,21000,2 4 5 6 7 9 10
L1 norm,biased,28000,w0,-1.216947,0.050566,-1.0,7,21000,2 4 5 6 7 9 10
L1 norm,biased,35000,Om,0.251674,0.007899,0.26,9,27000,1 2 3 4 5 6 7 8 9
L1 norm,biased,35000,S8,0.818461,0.009529,0.84,9,27000,1 2 3 4 5 6 7 8 9
L1 norm,biased,35000,w0,-1.217671,0.050386,-1.0,9,27000,1 2 3 4 5 6 7 8 9
