statistic,role,area_sqdeg,parameter,mean,std,truth,n_seeds,n_samples,fom3_pooled,fom3_per_seed_mean,fom3_per_seed_std,runs
Peak counts,null,2000,Om,0.261811,0.023582,0.26,6,18000,31781.1,33269.7,3563.98,2 3 4 5 6 7
Peak counts,null,2000,S8,0.843363,0.036499,0.84,6,18000,31781.1,33269.7,3563.98,2 3 4 5 6 7
Peak counts,null,2000,w0,-1.008992,0.114681,-1.0,6,18000,31781.1,33269.7,3563.98,2 3 4 5 6 7
Peak counts,null,5000,Om,0.256477,0.018266,0.26,10,30000,93287.7,100977,22596.5,1 2 3 4 5 6 7 8 9 10
Peak counts,null,5000,S8,0.849037,0.026932,0.84,10,30000,93287.7,100977,22596.5,1 2 3 4 5 6 7 8 9 10
Peak counts,null,5000,w0,-1.030030,0.085350,-1.0,10,30000,93287.7,100977,22596.5,1 2 3 4 5 6 7 8 9 10
Peak counts,null,10000,Om,0.255586,0.014094,0.26,10,30000,256735,284157,48865.9,1 2 3 4 5 6 7 8 9 10
Peak counts,null,10000,S8,0.846306,0.020199,0.84,10,30000,256735,284157,48865.9,1 2 3 4 5 6 7 8 9 10
Peak counts,null,10000,w0,-1.039788,0.067759,-1.0,10,30000,256735,284157,48865.9,1 2 3 4 5 6 7 8 9 10
Peak counts,null,14000,Om,0.255388,0.012519,0.26,9,27000,380074,436108,83501.6,2 3 4 5 6 7 8 9 10
Peak counts,null,14000,S8,0.846385,0.018053,0.84,9,27000,380074,436108,83501.6,2 3 4 5 6 7 8 9 10
Peak counts,null,14000,w0,-1.039679,0.059810,-1.0,9,27000,380074,436108,83501.6,2 3 4 5 6 7 8 9 10
Peak counts,null,28000,Om,0.255460,0.009310,0.26,8,24000,1.01181e+06,1.20065e+06,376149,1 4 5 6 7 8 9 10
Peak counts,null,28000,S8,0.845691,0.013211,0.84,8,24000,1.01181e+06,1.20065e+06,376149,1 4 5 6 7 8 9 10
Peak counts,null,28000,w0,-1.029910,0.047277,-1.0,8,24000,1.01181e+06,1.20065e+06,376149,1 4 5 6 7 8 9 10
Peak counts,null,35000,Om,0.254739,0.008232,0.26,10,30000,1.49432e+06,1.74807e+06,512106,1 1 2 3 4 5 6 7 9 10
Peak counts,null,35000,S8,0.845723,0.012085,0.84,10,30000,1.49432e+06,1.74807e+06,512106,1 1 2 3 4 5 6 7 9 10
Peak counts,null,35000,w0,-1.039585,0.040620,-1.0,10,30000,1.49432e+06,1.74807e+06,512106,1 1 2 3 4 5 6 7 9 10
