statistic,role,area_sqdeg,parameter,mean,std,truth,n_seeds,n_samples,fom3_pooled,fom3_per_seed_mean,fom3_per_seed_std,runs
Power spectrum,biased,2000,Om,0.235765,0.033538,0.26,5,3000,26734.2,27222.1,1417.1,1 2 3 4 5
Power spectrum,biased,2000,S8,0.857875,0.062491,0.84,5,3000,26734.2,27222.1,1417.1,1 2 3 4 5
Power spectrum,biased,2000,w0,-1.121060,0.111124,-1.0,5,3000,26734.2,27222.1,1417.1,1 2 3 4 5
Power spectrum,biased,5000,Om,0.236406,0.020718,0.26,5,3000,79716.3,86203.1,7058.8,1 2 3 4 5
Power spectrum,biased,5000,S8,0.851900,0.037348,0.84,5,3000,79716.3,86203.1,7058.8,1 2 3 4 5
Power spectrum,biased,5000,w0,-1.159703,0.097222,-1.0,5,3000,79716.3,86203.1,7058.8,1 2 3 4 5
Power spectrum,biased,10000,Om,0.237240,0.016233,0.26,3,3000,199666,209657,5360.35,2 3 4
Power spectrum,biased,10000,S8,0.848994,0.029769,0.84,3,3000,199666,209657,5360.35,2 3 4
Power spectrum,biased,10000,w0,-1.177512,0.075062,-1.0,3,3000,199666,209657,5360.35,2 3 4
Power spectrum,biased,14000,Om,0.239150,0.014046,0.26,5,3000,244856,259191,30656.6,1 2 3 4 5
Power spectrum,biased,14000,S8,0.843152,0.024480,0.84,5,3000,244856,259191,30656.6,1 2 3 4 5
Power spectrum,biased,14000,w0,-1.191941,0.075665,-1.0,5,3000,244856,259191,30656.6,1 2 3 4 5
Power spectrum,biased,28000,Om,0.241004,0.011942,0.26,9,3000,344345,436743,52253.1,1 2 3 5 6 7 8 9 10
Power spectrum,biased,28000,S8,0.841545,0.022391,0.84,9,3000,344345,436743,52253.1,1 2 3 5 6 7 8 9 10
Power spectrum,biased,28000,w0,-1.182537,0.076677,-1.0,9,3000,344345,436743,52253.1,1 2 3 5 6 7 8 9 10
Power spectrum,biased,35000,Om,0.242151,0.011161,0.26,3,3000,506656,614062,56388.8,2 3 4
Power spectrum,biased,35000,S8,0.841368,0.020824,0.84,3,3000,506656,614062,56388.8,2 3 4
Power spectrum,biased,35000,w0,-1.184779,0.062507,-1.0,3,3000,506656,614062,56388.8,2 3 4
Power spectrum,biased,fullsky,Om,0.241955,0.008233,0.26,5,3000,464695,648950,135038,1 2 3 4 5
Power spectrum,biased,fullsky,S8,0.838408,0.015724,0.84,5,3000,464695,648950,135038,1 2 3 4 5
Power spectrum,biased,fullsky,w0,-1.185272,0.059806,-1.0,5,3000,464695,648950,135038,1 2 3 4 5
