statistic,area_sqdeg,nsigma,nsigma_err,n_seeds,errbar_kind
Power spectrum,2000,0.432709,0.053656,5,std
Power spectrum,5000,1.253517,0.118159,5,std
Power spectrum,10000,2.095871,0.215663,3,std
Power spectrum,14000,2.207631,0.222370,4,std
Power spectrum,28000,3.083295,0.346787,7,std
Power spectrum,35000,3.566791,0.478005,2,std
Peak counts,2000,0.752564,0.113172,4,std
Peak counts,5000,2.001856,0.315831,7,std
Peak counts,10000,3.082421,0.431437,9,std
Peak counts,14000,3.660791,0.399067,7,std
Peak counts,28000,5.611791,0.375033,8,std
Peak counts,35000,6.236325,0.511794,9,std
L1 norm,2000,0.962425,0.324607,4,std
L1 norm,5000,2.407536,0.159266,9,std
L1 norm,10000,3.442968,0.317924,7,std
L1 norm,14000,3.599209,0.287324,4,std
L1 norm,28000,5.669148,0.436806,5,std
L1 norm,35000,6.082531,0.332492,8,std
