statistic,area_sqdeg,sigma_S8,sigma_S8_err,fom3,fom3_err,n_seeds,errbar_kind
Power spectrum,2000,0.0622481,0.00249116,27249.6,2217.88,5,std
Power spectrum,5000,0.0399131,0.00126569,90515.3,7768.48,5,std
Power spectrum,10000,0.0282755,0.00167691,229219,22565.6,5,std
Power spectrum,14000,0.0237659,0.00103101,343758,29922.7,4,std
Power spectrum,28000,0.0187201,0.00108643,716572,77550.9,10,std
Power spectrum,35000,0.0167303,0.0011914,965766,155262,4,std
Peak counts,2001,0.0357091,0.00249579,32955.7,3293.32,4,std
Peak counts,5001,0.0259223,0.00157358,113894,25598,5,std
Peak counts,10001,0.0202408,0.000844557,271553,62899.1,5,std
Peak counts,14001,0.0183937,0.000982333,438292,70165.8,4,std
Peak counts,28001,0.0131039,0.00115027,1.13301e+06,427352,3,std
Peak counts,35001,0.0117476,0.00141324,1.80884e+06,583378,5,std
L1 norm,2001,0.0302472,0.00153265,66902.7,11750.3,3,std
L1 norm,5001,0.0187299,0.000771036,314717,53502.3,4,std
L1 norm,10001,0.0152271,0.000260004,562871,172088,4,std
L1 norm,14001,0.0129154,0.000666944,928082,31249.1,5,std
L1 norm,28001,0.00966039,0.000403533,2.79413e+06,211398,4,std
L1 norm,35001,0.00893507,0.000458058,3.19906e+06,477869,5,std
