statistic,area_sqdeg,nsigma,nsigma_err,n_seeds,errbar_kind
Power spectrum,2000,0.432709,0.023996,5,sem
Power spectrum,5000,1.253517,0.052842,5,sem
Power spectrum,10000,2.095871,0.124513,3,sem
Power spectrum,14000,2.207631,0.111185,4,sem
Power spectrum,28000,3.083295,0.131073,7,sem
Power spectrum,35000,3.566791,0.338001,2,sem
Peak counts,2000,0.752564,0.056586,4,sem
Peak counts,5000,2.001856,0.119373,7,sem
Peak counts,10000,3.082421,0.143812,9,sem
Peak counts,14000,3.660791,0.150833,7,sem
Peak counts,28000,5.611791,0.132594,8,sem
Peak counts,35000,6.236325,0.170598,9,sem
L1 norm,2000,0.962425,0.162304,4,sem
L1 norm,5000,2.407536,0.053089,9,sem
L1 norm,10000,3.442968,0.120164,7,sem
L1 norm,14000,3.599209,0.143662,4,sem
L1 norm,28000,5.669148,0.195346,5,sem
L1 norm,35000,6.082531,0.117554,8,sem
