stat,basis,bin,x,frac_diff,band,n_realizations,n_seeds
l1,bnt,1,-5.75,-0.0007785206694380163,5.2474868700824695,200,1
l1,bnt,1,-5.25,-0.014291653414386579,0.9360801653546782,200,1
l1,bnt,1,-4.75,-0.015413328305330822,0.3284990637696247,200,1
l1,bnt,1,-4.25,-0.009687292018346007,0.10600020545521628,200,1
l1,bnt,1,-3.75,-0.008167813990273063,0.036264539430350025,200,1
l1,bnt,1,-3.25,-0.007182264928229867,0.015744015819522127,200,1
l1,bnt,1,-2.75,-0.005280915799956697,0.008555797024530947,200,1
l1,bnt,1,-2.25,-0.0038129708218108496,0.00413638134277968,200,1
l1,bnt,1,-1.75,-0.002512876627076289,0.0023441140360884894,200,1
l1,bnt,1,-1.25,-0.001198943599974149,0.0016911527781853987,200,1
l1,bnt,1,-0.75,-0.0001528773373798911,0.0013861728954115073,200,1
l1,bnt,1,-0.25,0.000643524110634922,0.0013216239810004196,200,1
l1,bnt,1,0.25,0.0013523065434061523,0.0013418277149666938,200,1
l1,bnt,1,0.75,0.0013067667512665015,0.0012933018539283058,200,1
l1,bnt,1,1.25,0.0005376605101979566,0.0015911513812018948,200,1
l1,bnt,1,1.75,-0.0014572791868223088,0.0024667339750103863,200,1
l1,bnt,1,2.25,-0.005846568559155016,0.004513580237236579,200,1
l1,bnt,1,2.75,-0.01528765045074937,0.007714915574949106,200,1
l1,bnt,1,3.25,-0.03407266370520131,0.017372902659122186,200,1
l1,bnt,1,3.75,-0.0781995039539741,0.032673381098212946,200,1
l1,bnt,1,4.25,-0.17592544729946175,0.0642068867409291,200,1
l1,bnt,1,4.75,-0.29567141736078134,0.139671261465275,200,1
l1,bnt,1,5.25,-0.42015159437894184,0.2186501392969749,200,1
l1,bnt,1,5.75,-0.5253226406129999,0.2875043376619902,200,1
l1,bnt,1,6.25,-0.49571032927422387,0.4166160729439874,200,1
l1,bnt,1,6.75,-0.5129103369820307,0.6279372325848509,200,1
l1,bnt,1,7.25,-0.53625962211106,0.7803622102794235,200,1
l1,bnt,1,7.75,-0.34434241264225024,1.3300220862474885,200,1
l1,bnt,1,8.25,-0.3756681860214488,1.6521646282363842,200,1
l1,bnt,1,8.75,-0.6660151669248691,1.2175231842767884,200,1
l1,bnt,1,9.25,-0.7047653206930783,1.8439571571891764,200,1
l1,bnt,1,9.75,-0.5551967406565741,3.1140488036366007,200,1
l1,std,1,-5.75,-0.0007785206694380163,5.2474868700824695,200,1
l1,std,1,-5.25,-0.014291653414386579,0.9360801653546782,200,1
l1,std,1,-4.75,-0.015413328305330822,0.3284990637696247,200,1
l1,std,1,-4.25,-0.009687292018346007,0.10600020545521628,200,1
l1,std,1,-3.75,-0.008167813990273063,0.036264539430350025,200,1
l1,std,1,-3.25,-0.007182264928229867,0.015744015819522127,200,1
l1,std,1,-2.75,-0.005280915799956697,0.008555797024530947,200,1
l1,std,1,-2.25,-0.0038129708218108496,0.00413638134277968,200,1
l1,std,1,-1.75,-0.002512876627076289,0.0023441140360884894,200,1
l1,std,1,-1.25,-0.001198943599974149,0.0016911527781853987,200,1
l1,std,1,-0.75,-0.0001528773373798911,0.0013861728954115073,200,1
l1,std,1,-0.25,0.000643524110634922,0.0013216239810004196,200,1
l1,std,1,0.25,0.0013523065434061523,0.0013418277149666938,200,1
l1,std,1,0.75,0.0013067667512665015,0.0012933018539283058,200,1
l1,std,1,1.25,0.0005376605101979566,0.0015911513812018948,200,1
l1,std,1,1.75,-0.0014572791868223088,0.0024667339750103863,200,1
l1,std,1,2.25,-0.005846568559155016,0.004513580237236579,200,1
l1,std,1,2.75,-0.01528765045074937,0.007714915574949106,200,1
l1,std,1,3.25,-0.03407266370520131,0.017372902659122186,200,1
l1,std,1,3.75,-0.0781995039539741,0.032673381098212946,200,1
l1,std,1,4.25,-0.17592544729946175,0.0642068867409291,200,1
l1,std,1,4.75,-0.29567141736078134,0.139671261465275,200,1
l1,std,1,5.25,-0.42015159437894184,0.2186501392969749,200,1
l1,std,1,5.75,-0.5253226406129999,0.2875043376619902,200,1
l1,std,1,6.25,-0.49571032927422387,0.4166160729439874,200,1
l1,std,1,6.75,-0.5129103369820307,0.6279372325848509,200,1
l1,std,1,7.25,-0.53625962211106,0.7803622102794235,200,1
l1,std,1,7.75,-0.34434241264225024,1.3300220862474885,200,1
l1,std,1,8.25,-0.3756681860214488,1.6521646282363842,200,1
l1,std,1,8.75,-0.6660151669248691,1.2175231842767884,200,1
l1,std,1,9.25,-0.7047653206930783,1.8439571571891764,200,1
l1,std,1,9.75,-0.5551967406565741,3.1140488036366007,200,1
l1,bnt,2,-8.75,0.0004886262878743985,14.113628901701636,200,1
l1,bnt,2,-8.25,-8.188004020683666e-05,7.000194826928836,200,1
l1,bnt,2,-7.75,0.05742202169413297,3.562438547156055,200,1
l1,bnt,2,-7.25,-0.01598454920280831,1.002593021519849,200,1
l1,bnt,2,-6.75,-0.0027331066365171297,0.411700761464908,200,1
l1,bnt,2,-6.25,-0.0016603373722505284,0.19992928915572222,200,1
l1,bnt,2,-5.75,-0.0041951459787014055,0.09265474931124594,200,1
l1,bnt,2,-5.25,-0.002081877457121576,0.04379797587118916,200,1
l1,bnt,2,-4.75,-0.002998475174336077,0.026031972312025555,200,1
l1,bnt,2,-4.25,-0.0018398054595363804,0.0148660649229856,200,1
l1,bnt,2,-3.75,-0.0015475930911145505,0.009347755754029175,200,1
l1,bnt,2,-3.25,-0.0011236739384774552,0.005430513485359293,200,1
l1,bnt,2,-2.75,-0.0007796446909701265,0.0036434671658730107,200,1
l1,bnt,2,-2.25,-0.0005361292188673544,0.0026721790907165573,200,1
l1,bnt,2,-1.75,-0.0002493895448560403,0.0020771195148021945,200,1
l1,bnt,2,-1.25,4.919586777171123e-06,0.0016733914112066815,200,1
l1,bnt,2,-0.75,0.00013437926553570205,0.0015625888902240904,200,1
l1,bnt,2,-0.25,0.00026299849320315005,0.0015712869911722542,200,1
l1,bnt,2,0.25,0.0003172436293714073,0.0017919835602617032,200,1
l1,bnt,2,0.75,0.00027564194152996676,0.001449452848224394,200,1
l1,bnt,2,1.25,0.00017248686140740918,0.0016259870529910035,200,1
l1,bnt,2,1.75,-5.422978810868725e-05,0.0019558025097671937,200,1
l1,bnt,2,2.25,-0.00039128527655339635,0.00246804630997616,200,1
