stat,basis,bin,x,frac_diff,band,n_realizations,n_seeds
l1,bnt,1,-5.75,-0.0007785206694380163,9.007724837555031,200,1
l1,bnt,1,-5.25,-0.014291653414386579,1.606855388906469,200,1
l1,bnt,1,-4.75,-0.015413328305330822,0.5638945363925643,200,1
l1,bnt,1,-4.25,-0.009687292018346007,0.1819577079665722,200,1
l1,bnt,1,-3.75,-0.008167813990273063,0.062250940428579656,200,1
l1,bnt,1,-3.25,-0.007182264928229867,0.027025844151972123,200,1
l1,bnt,1,-2.75,-0.005280915799956697,0.014686699990110817,200,1
l1,bnt,1,-2.25,-0.0038129708218108496,0.007100424618760445,200,1
l1,bnt,1,-1.75,-0.002512876627076289,0.004023856514119075,200,1
l1,bnt,1,-1.25,-0.001198943599974149,0.0029029970462644346,200,1
l1,bnt,1,-0.75,-0.0001528773373798911,0.0023794750379142107,200,1
l1,bnt,1,-0.25,0.000643524110634922,0.002268671738358965,200,1
l1,bnt,1,0.25,0.0013523065434061523,0.0023033530402402406,200,1
l1,bnt,1,0.75,0.0013067667512665015,0.0022200545747917007,200,1
l1,bnt,1,1.25,0.0005376605101979566,0.0027313367658863812,200,1
l1,bnt,1,1.75,-0.0014572791868223088,0.004234343304606059,200,1
l1,bnt,1,2.25,-0.005846568559155016,0.007747916253216751,200,1
l1,bnt,1,2.75,-0.01528765045074937,0.013243260700720353,200,1
l1,bnt,1,3.25,-0.03407266370520131,0.029821956806638256,200,1
l1,bnt,1,3.75,-0.0781995039539741,0.05608643408395006,200,1
l1,bnt,1,4.25,-0.17592544729946175,0.11021618209961533,200,1
l1,bnt,1,4.75,-0.29567141736078134,0.2397567296768916,200,1
l1,bnt,1,5.25,-0.42015159437894184,0.3753301988632275,200,1
l1,bnt,1,5.75,-0.5253226406129999,0.49352385768275714,200,1
l1,bnt,1,6.25,-0.49571032927422387,0.7151543283276888,200,1
l1,bnt,1,6.75,-0.5129103369820307,1.0779037559156843,200,1
l1,bnt,1,7.25,-0.53625962211106,1.339553244792175,200,1
l1,bnt,1,7.75,-0.34434241264225024,2.283087747983251,200,1
l1,bnt,1,8.25,-0.3756681860214488,2.836070813696169,200,1
l1,bnt,1,8.75,-0.6660151669248691,2.0899745151981217,200,1
l1,bnt,1,9.25,-0.7047653206930783,3.1652978073938987,200,1
l1,bnt,1,9.75,-0.5551967406565741,5.3455102315358625,200,1
l1,std,1,-5.75,-0.0007785206694380163,9.007724837555031,200,1
l1,std,1,-5.25,-0.014291653414386579,1.606855388906469,200,1
