stat,basis,bin,x,frac_diff,band,n_realizations,n_seeds
ps,bnt,1,36.0,-0.0005899820653604252,0.05145453730097862,200,1
ps,bnt,1,51.5,-0.0009870851464287968,0.03929271623161373,200,1
ps,bnt,1,73.5,-0.001631114328116401,0.02805743324085154,200,1
ps,bnt,1,104.5,-0.002471860190727888,0.0208890809074276,200,1
ps,bnt,1,148.5,-0.0035212296519243165,0.013493956358367119,200,1
ps,bnt,1,211.5,-0.004611021500516791,0.009027307655342773,200,1
ps,bnt,1,301.5,-0.005508185910300349,0.006036843512581462,200,1
ps,bnt,1,429.5,-0.0059189495169713014,0.0042888323993787525,200,1
ps,bnt,1,611.5,-0.005543225593321141,0.002691422216383096,200,1
ps,bnt,1,871.0,-0.004425396466703009,0.0021977233247181946,200,1
ps,std,1,36.0,-0.0005899820653604252,0.05145453730097862,200,1
ps,std,1,51.5,-0.0009870851464287968,0.03929271623161373,200,1
ps,std,1,73.5,-0.001631114328116401,0.02805743324085154,200,1
ps,std,1,104.5,-0.002471860190727888,0.0208890809074276,200,1
ps,std,1,148.5,-0.0035212296519243165,0.013493956358367119,200,1
ps,std,1,211.5,-0.004611021500516791,0.009027307655342773,200,1
ps,std,1,301.5,-0.005508185910300349,0.006036843512581462,200,1
ps,std,1,429.5,-0.0059189495169713014,0.0042888323993787525,200,1
ps,std,1,611.5,-0.005543225593321141,0.002691422216383096,200,1
ps,std,1,871.0,-0.004425396466703009,0.0021977233247181946,200,1
ps,bnt,2,36.0,-8.211608522730373e-05,0.04086857579909583,200,1
ps,bnt,2,51.5,-9.983448116476047e-05,0.03246746913491525,200,1
ps,bnt,2,73.5,-0.000131681286173965,0.023624468101971823,200,1
ps,bnt,2,104.5,-0.00017925361107330438,0.01802425069347368,200,1
ps,bnt,2,148.5,-0.00025289420927968606,0.010885571739463577,200,1
ps,bnt,2,211.5,-0.0003641133655178506,0.007514026885543975,200,1
ps,bnt,2,301.5,-0.0005041722042971912,0.0058103706102112926,200,1
ps,bnt,2,429.5,-0.0006610495148829938,0.0037862949582614038,200,1
ps,bnt,2,611.5,-0.0007773934253035683,0.002630900229143398,200,1
ps,bnt,2,871.0,-0.0007936427627308246,0.0018180951804535207,200,1
ps,std,2,36.0,-0.00042677855941529723,0.047270709204713,200,1
ps,std,2,51.5,-0.0007294769706273366,0.03734811683045547,200,1
ps,std,2,73.5,-0.0013216473873190987,0.023828188959661954,200,1
ps,std,2,104.5,-0.0023045657087878203,0.01784481522012343,200,1
ps,std,2,148.5,-0.0037999161087069605,0.01271199720149732,200,1
ps,std,2,211.5,-0.005789260203663177,0.009261788927714239,200,1
ps,std,2,301.5,-0.007954168302129378,0.006164335064585659,200,1
ps,std,2,429.5,-0.009767139426253225,0.003858613511730186,200,1
ps,std,2,611.5,-0.01044090771813992,0.002866818611345894,200,1
ps,std,2,871.0,-0.009515639664457478,0.0019317607585398833,200,1
ps,bnt,3,36.0,-2.557926562072328e-05,0.052308620106502154,200,1
ps,bnt,3,51.5,-2.759293571331973e-05,0.03684753693334056,200,1
ps,bnt,3,73.5,-3.217091820752937e-05,0.021949353307496228,200,1
ps,bnt,3,104.5,-3.972144035577799e-05,0.015392416244157244,200,1
ps,bnt,3,148.5,-4.980966684922995e-05,0.012390732609290647,200,1
ps,bnt,3,211.5,-6.598796973890837e-05,0.007536458996076539,200,1
ps,bnt,3,301.5,-9.247956400870993e-05,0.005721094166516508,200,1
ps,bnt,3,429.5,-0.00013007634265873417,0.003664808168230671,200,1
ps,bnt,3,611.5,-0.00017809801850428745,0.002564432141586512,200,1
ps,bnt,3,871.0,-0.00022742323852289098,0.0017492240074494458,200,1
ps,std,3,36.0,-0.0002723027763380767,0.04985216675219153,200,1
ps,std,3,51.5,-0.00045338972860032407,0.037120750699856965,200,1
ps,std,3,73.5,-0.0008270948725302395,0.024007127150027403,200,1
ps,std,3,104.5,-0.001539097624616445,0.017544098248912662,200,1
ps,std,3,148.5,-0.002875909881177968,0.011630010729121912,200,1
ps,std,3,211.5,-0.005052574591907528,0.009835635427958107,200,1
ps,std,3,301.5,-0.008068545141652419,0.006070282423607469,200,1
ps,std,3,429.5,-0.011442156437614225,0.004377677433798394,200,1
ps,std,3,611.5,-0.014100390203537427,0.003198882419670259,200,1
ps,std,3,871.0,-0.014822381034878969,0.0021460727038741336,200,1
ps,bnt,4,36.0,-4.290563646244006e-06,0.051367716911719874,200,1
ps,bnt,4,51.5,-4.122760152240911e-06,0.035848223653721714,200,1
ps,bnt,4,73.5,-4.228129655484759e-06,0.022646195179828858,200,1
ps,bnt,4,104.5,-4.827784402844083e-06,0.017013727416404473,200,1
ps,bnt,4,148.5,-5.47288741878531e-06,0.01242906011612857,200,1
ps,bnt,4,211.5,-6.894058142033383e-06,0.007446933807019371,200,1
ps,bnt,4,301.5,-8.777325010299394e-06,0.005315130478873492,200,1
ps,bnt,4,429.5,-1.2172103272342277e-05,0.0037978573002489,200,1
ps,bnt,4,611.5,-1.7077305336179205e-05,0.00256791297618774,200,1
ps,bnt,4,871.0,-2.3224865511451002e-05,0.0020380793732137953,200,1
ps,std,4,36.0,-0.000215757546239527,0.053791171980137095,200,1
ps,std,4,51.5,-0.00035467195140496445,0.03628278397663377,200,1
ps,std,4,73.5,-0.0006382990265632077,0.0256148463362214,200,1
ps,std,4,104.5,-0.0011860089197206639,0.016309441766135253,200,1
ps,std,4,148.5,-0.002287005478261596,0.012357615640433252,200,1
ps,std,4,211.5,-0.004246045760804102,0.009520097894169827,200,1
ps,std,4,301.5,-0.007220521940899607,0.006186982276982216,200,1
ps,std,4,429.5,-0.010957750664887361,0.004643881005492384,200,1
ps,std,4,611.5,-0.01441361045372124,0.003417282223536599,200,1
ps,std,4,871.0,-0.016117307017263438,0.0023942779452512837,200,1
