stat,basis,bin,x,frac_diff,band,n_realizations,n_seeds
ps,bnt,1,36.0,-0.0005899820653604252,0.08832576910166576,200,1
ps,bnt,1,51.5,-0.0009870851464287968,0.0674490445993143,200,1
ps,bnt,1,73.5,-0.001631114328116401,0.04816279574181929,200,1
ps,bnt,1,104.5,-0.002471860190727888,0.03585775392718134,200,1
ps,bnt,1,148.5,-0.0035212296519243165,0.02316343972943316,200,1
ps,bnt,1,211.5,-0.004611021500516791,0.015496085153997502,200,1
ps,bnt,1,301.5,-0.005508185910300349,0.010362717734224343,200,1
ps,bnt,1,429.5,-0.0059189495169713014,0.007362118874132139,200,1
ps,bnt,1,611.5,-0.005543225593321141,0.004620038381626368,200,1
ps,bnt,1,871.0,-0.004425396466703009,0.003772565319029942,200,1
ps,std,1,36.0,-0.0005899820653604252,0.08832576910166576,200,1
ps,std,1,51.5,-0.0009870851464287968,0.0674490445993143,200,1
ps,std,1,73.5,-0.001631114328116401,0.04816279574181929,200,1
ps,std,1,104.5,-0.002471860190727888,0.03585775392718134,200,1
ps,std,1,148.5,-0.0035212296519243165,0.02316343972943316,200,1
ps,std,1,211.5,-0.004611021500516791,0.015496085153997502,200,1
ps,std,1,301.5,-0.005508185910300349,0.010362717734224343,200,1
ps,std,1,429.5,-0.0059189495169713014,0.007362118874132139,200,1
ps,std,1,611.5,-0.005543225593321141,0.004620038381626368,200,1
ps,std,1,871.0,-0.004425396466703009,0.003772565319029942,200,1
ps,bnt,2,36.0,-8.211608522730373e-05,0.07015413176159703,200,1
ps,bnt,2,51.5,-9.983448116476047e-05,0.055732969968256676,200,1
ps,bnt,2,73.5,-0.000131681286173965,0.04055326165929287,200,1
ps,bnt,2,104.5,-0.00017925361107330438,0.03094004704910672,200,1
ps,bnt,2,148.5,-0.00025289420927968606,0.018685941929190986,200,1
ps,bnt,2,211.5,-0.0003641133655178506,0.012898419430615368,200,1
ps,bnt,2,301.5,-0.0005041722042971912,0.009973959145928744,200,1
ps,bnt,2,429.5,-0.0006610495148829938,0.00649947374471556,200,1
ps,bnt,2,611.5,-0.0007773934253035683,0.0045161476199771355,200,1
ps,bnt,2,871.0,-0.0007936427627308246,0.0031209036857967206,200,1
ps,std,2,36.0,-0.00042677855941529723,0.08114389839062953,200,1
ps,std,2,51.5,-0.0007294769706273366,0.06411098644717783,200,1
ps,std,2,73.5,-0.0013216473873190987,0.04090296456950036,200,1
ps,std,2,104.5,-0.0023045657087878203,0.0306320319153766,200,1
ps,std,2,148.5,-0.0037999161087069605,0.021821145199941754,200,1
ps,std,2,211.5,-0.005789260203663177,0.015898590740647738,200,1
ps,std,2,301.5,-0.007954168302129378,0.010581567032564482,200,1
ps,std,2,429.5,-0.009767139426253225,0.006623614242143153,200,1
ps,std,2,611.5,-0.01044090771813992,0.0049211201189303016,200,1
ps,std,2,871.0,-0.009515639664457478,0.0033160196100958297,200,1
ps,bnt,3,36.0,-2.557926562072328e-05,0.08979186955910666,200,1
ps,bnt,3,51.5,-2.759293571331973e-05,0.06325170159634183,200,1
ps,bnt,3,73.5,-3.217091820752937e-05,0.03767779507623564,200,1
ps,bnt,3,104.5,-3.972144035577799e-05,0.026422295766564102,200,1
ps,bnt,3,148.5,-4.980966684922995e-05,0.02126966920423306,200,1
ps,bnt,3,211.5,-6.598796973890837e-05,0.012936925916521026,200,1
ps,bnt,3,301.5,-9.247956400870993e-05,0.009820709093248678,200,1
ps,bnt,3,429.5,-0.00013007634265873417,0.006290932093618972,200,1
ps,bnt,3,611.5,-0.00017809801850428745,0.004402049908441264,200,1
ps,bnt,3,871.0,-0.00022742323852289098,0.0030026808886712453,200,1
ps,std,3,36.0,-0.0002723027763380767,0.08557517375028581,200,1
ps,std,3,51.5,-0.00045338972860032407,0.06372069456222096,200,1
ps,std,3,73.5,-0.0008270948725302395,0.041210126077789504,200,1
ps,std,3,104.5,-0.001539097624616445,0.03011582753074191,200,1
ps,std,3,148.5,-0.002875909881177968,0.01996383013419461,200,1
ps,std,3,211.5,-0.005052574591907528,0.016883643490881582,200,1
ps,std,3,301.5,-0.008068545141652419,0.010420118260771067,200,1
ps,std,3,429.5,-0.011442156437614225,0.007514628378786251,200,1
ps,std,3,611.5,-0.014100390203537427,0.005491133820336568,200,1
ps,std,3,871.0,-0.014822381034878969,0.0036839029570705927,200,1
ps,bnt,4,36.0,-4.290563646244006e-06,0.08817673506001986,200,1
ps,bnt,4,51.5,-4.122760152240911e-06,0.06153630158254822,200,1
ps,bnt,4,73.5,-4.228129655484759e-06,0.038873979077580334,200,1
ps,bnt,4,104.5,-4.827784402844083e-06,0.029205404191078806,200,1
ps,bnt,4,148.5,-5.47288741878531e-06,0.021335461390826965,200,1
ps,bnt,4,211.5,-6.894058142033383e-06,0.012783248872819458,200,1
ps,bnt,4,301.5,-8.777325010299394e-06,0.009123840423947946,200,1
ps,bnt,4,429.5,-1.2172103272342277e-05,0.006519321416120869,200,1
ps,bnt,4,611.5,-1.7077305336179205e-05,0.004408025035405689,200,1
ps,bnt,4,871.0,-2.3224865511451002e-05,0.0034985238925844086,200,1
ps,std,4,36.0,-0.000215757546239527,0.09233678671006569,200,1
ps,std,4,51.5,-0.00035467195140496445,0.06228225863037393,200,1
ps,std,4,73.5,-0.0006382990265632077,0.0439699027868765,200,1
ps,std,4,104.5,-0.0011860089197206639,0.027996442358161646,200,1
ps,std,4,148.5,-0.002287005478261596,0.021212821316795354,200,1
ps,std,4,211.5,-0.004246045760804102,0.016341998442374602,200,1
ps,std,4,301.5,-0.007220521940899607,0.010620442757774759,200,1
ps,std,4,429.5,-0.010957750664887361,0.007971587792684915,200,1
ps,std,4,611.5,-0.01441361045372124,0.005866034298700807,200,1
ps,std,4,871.0,-0.016117307017263438,0.004109966818289775,200,1
