statistic,role,parameter,mean,std,truth,n_runs_pooled,n_samples,runs
Power spectrum,null,Om,0.256245,0.013528,0.26,4,12000,1 3 4 5
Power spectrum,null,S8,0.842583,0.024097,0.84,4,12000,1 3 4 5
Power spectrum,null,w0,-1.035420,0.077695,-1.0,4,12000,1 3 4 5
Power spectrum,biased,Om,0.239833,0.014233,0.26,4,12000,1 3 4 5
Power spectrum,biased,S8,0.843049,0.025753,0.84,4,12000,1 3 4 5
Power spectrum,biased,w0,-1.193097,0.077003,-1.0,4,12000,1 3 4 5
Peak counts,null,Om,0.255373,0.012501,0.26,7,21000,2 4 5 6 7 9 10
Peak counts,null,S8,0.846555,0.017919,0.84,7,21000,2 4 5 6 7 9 10
Peak counts,null,w0,-1.040012,0.059587,-1.0,7,21000,2 4 5 6 7 9 10
Peak counts,biased,Om,0.254152,0.011684,0.26,7,21000,2 4 5 6 7 9 10
Peak counts,biased,S8,0.815045,0.016189,0.84,7,21000,2 4 5 6 7 9 10
Peak counts,biased,w0,-1.233188,0.062138,-1.0,7,21000,2 4 5 6 7 9 10
L1 norm,null,Om,0.256945,0.011530,0.26,4,12000,2 4 6 7
L1 norm,null,S8,0.842145,0.013152,0.84,4,12000,2 4 6 7
L1 norm,null,w0,-1.022139,0.069740,-1.0,4,12000,2 4 6 7
L1 norm,biased,Om,0.251574,0.011138,0.26,4,12000,2 4 6 7
L1 norm,biased,S8,0.817360,0.012737,0.84,4,12000,2 4 6 7
L1 norm,biased,w0,-1.209340,0.070326,-1.0,4,12000,2 4 6 7
