statistic,role,area_sqdeg,parameter,mean,std,truth,n_seeds,n_samples,fom3_pooled,fom3_per_seed_mean,fom3_per_seed_std,runs
L1 norm,biased,2000,Om,0.257577,0.022208,0.26,6,3000,39963.3,58026,23755.9,1 2 4 5 6 8
L1 norm,biased,2000,S8,0.816832,0.028582,0.84,6,3000,39963.3,58026,23755.9,1 2 4 5 6 8
L1 norm,biased,2000,w0,-1.156541,0.111471,-1.0,6,3000,39963.3,58026,23755.9,1 2 4 5 6 8
L1 norm,biased,5000,Om,0.253853,0.014818,0.26,9,3000,254786,276716,28546.8,2 3 4 5 6 7 8 9 10
L1 norm,biased,5000,S8,0.813896,0.017171,0.84,9,3000,254786,276716,28546.8,2 3 4 5 6 7 8 9 10
L1 norm,biased,5000,w0,-1.204910,0.079349,-1.0,9,3000,254786,276716,28546.8,2 3 4 5 6 7 8 9 10
L1 norm,biased,10000,Om,0.250531,0.012469,0.26,8,3000,489145,573747,79681.4,2 3 4 6 7 8 9 10
L1 norm,biased,10000,S8,0.818227,0.014510,0.84,8,3000,489145,573747,79681.4,2 3 4 6 7 8 9 10
L1 norm,biased,10000,w0,-1.215858,0.069090,-1.0,8,3000,489145,573747,79681.4,2 3 4 6 7 8 9 10
L1 norm,biased,14000,Om,0.251590,0.010900,0.26,5,3000,733789,796101,70962.3,2 4 6 7 10
L1 norm,biased,14000,S8,0.817285,0.012590,0.84,5,3000,733789,796101,70962.3,2 4 6 7 10
L1 norm,biased,14000,w0,-1.208539,0.072068,-1.0,5,3000,733789,796101,70962.3,2 4 6 7 10
L1 norm,biased,28000,Om,0.252957,0.008232,0.26,7,3000,1.89705e+06,2.17365e+06,400843,2 4 5 6 7 9 10
L1 norm,biased,28000,S8,0.816966,0.010216,0.84,7,3000,1.89705e+06,2.17365e+06,400843,2 4 5 6 7 9 10
L1 norm,biased,28000,w0,-1.214754,0.049027,-1.0,7,3000,1.89705e+06,2.17365e+06,400843,2 4 5 6 7 9 10
L1 norm,biased,35000,Om,0.253133,0.007504,0.26,9,3000,1.91614e+06,2.6677e+06,315263,1 2 3 4 5 6 7 8 9
L1 norm,biased,35000,S8,0.817325,0.008754,0.84,9,3000,1.91614e+06,2.6677e+06,315263,1 2 3 4 5 6 7 8 9
L1 norm,biased,35000,w0,-1.204720,0.044112,-1.0,9,3000,1.91614e+06,2.6677e+06,315263,1 2 3 4 5 6 7 8 9
