statistic,role,area_sqdeg,parameter,mean,std,truth,n_seeds,n_samples,fom3_pooled,fom3_per_seed_mean,fom3_per_seed_std,runs
L1 norm,null,2000,Om,0.259116,0.020888,0.26,6,18000,62631.1,67349,9436.33,1 4 5 6 7 10
L1 norm,null,2000,S8,0.844472,0.029760,0.84,6,18000,62631.1,67349,9436.33,1 4 5 6 7 10
L1 norm,null,2000,w0,-1.010975,0.103726,-1.0,6,18000,62631.1,67349,9436.33,1 4 5 6 7 10
L1 norm,null,5000,Om,0.256817,0.014923,0.26,9,27000,279106,298172,42102.5,2 3 4 5 6 7 8 9 10
L1 norm,null,5000,S8,0.843503,0.019398,0.84,9,27000,279106,298172,42102.5,2 3 4 5 6 7 8 9 10
L1 norm,null,5000,w0,-1.027858,0.082008,-1.0,9,27000,279106,298172,42102.5,2 3 4 5 6 7 8 9 10
L1 norm,null,10000,Om,0.254478,0.012396,0.26,9,27000,486077,607073,145120,1 2 4 5 6 7 8 9 10
L1 norm,null,10000,S8,0.847307,0.015287,0.84,9,27000,486077,607073,145120,1 2 4 5 6 7 8 9 10
L1 norm,null,10000,w0,-1.029606,0.068261,-1.0,9,27000,486077,607073,145120,1 2 4 5 6 7 8 9 10
L1 norm,null,14000,Om,0.256982,0.011415,0.26,7,21000,852882,906477,75208.8,1 2 3 4 5 6 7
L1 norm,null,14000,S8,0.842023,0.012970,0.84,7,21000,852882,906477,75208.8,1 2 3 4 5 6 7
L1 norm,null,14000,w0,-1.021794,0.069670,-1.0,7,21000,852882,906477,75208.8,1 2 3 4 5 6 7
L1 norm,null,28000,Om,0.256534,0.007986,0.26,8,24000,2.23733e+06,2.60035e+06,308339,1 2 3 5 7 8 9 10
L1 norm,null,28000,S8,0.843139,0.009872,0.84,8,24000,2.23733e+06,2.60035e+06,308339,1 2 3 5 7 8 9 10
L1 norm,null,28000,w0,-1.018163,0.046552,-1.0,8,24000,2.23733e+06,2.60035e+06,308339,1 2 3 5 7 8 9 10
L1 norm,null,35000,Om,0.255853,0.007914,0.26,9,27000,2.51919e+06,3.13993e+06,434062,1 2 3 4 5 6 8 9 10
L1 norm,null,35000,S8,0.844839,0.009196,0.84,9,27000,2.51919e+06,3.13993e+06,434062,1 2 3 4 5 6 8 9 10
L1 norm,null,35000,w0,-1.022347,0.046789,-1.0,9,27000,2.51919e+06,3.13993e+06,434062,1 2 3 4 5 6 8 9 10
