statistic,role,area_sqdeg,parameter,mean,std,truth,n_seeds,n_samples,fom3_pooled,fom3_per_seed_mean,fom3_per_seed_std,runs
Peak counts,biased,2000,Om,0.267947,0.022622,0.26,7,21000,30907,33559.5,3610.94,1 2 3 6 7 9 10
Peak counts,biased,2000,S8,0.798512,0.032301,0.84,7,21000,30907,33559.5,3610.94,1 2 3 6 7 9 10
Peak counts,biased,2000,w0,-1.163909,0.115440,-1.0,7,21000,30907,33559.5,3610.94,1 2 3 6 7 9 10
Peak counts,biased,5000,Om,0.258237,0.015560,0.26,7,21000,120575,143166,13549.3,1 3 4 5 6 7 9
Peak counts,biased,5000,S8,0.809800,0.021775,0.84,7,21000,120575,143166,13549.3,1 3 4 5 6 7 9
Peak counts,biased,5000,w0,-1.208831,0.081867,-1.0,7,21000,120575,143166,13549.3,1 3 4 5 6 7 9
Peak counts,biased,10000,Om,0.254322,0.012950,0.26,9,27000,250582,317527,60747.2,1 2 3 4 5 6 7 9 10
Peak counts,biased,10000,S8,0.814577,0.018158,0.84,9,27000,250582,317527,60747.2,1 2 3 4 5 6 7 9 10
Peak counts,biased,10000,w0,-1.226530,0.068089,-1.0,9,27000,250582,317527,60747.2,1 2 3 4 5 6 7 9 10
Peak counts,biased,14000,Om,0.254152,0.011684,0.26,7,21000,402823,470796,76096.5,2 4 5 6 7 9 10
Peak counts,biased,14000,S8,0.815045,0.016189,0.84,7,21000,402823,470796,76096.5,2 4 5 6 7 9 10
Peak counts,biased,14000,w0,-1.233188,0.062138,-1.0,7,21000,402823,470796,76096.5,2 4 5 6 7 9 10
Peak counts,biased,28000,Om,0.249613,0.009051,0.26,9,27000,925238,1.16469e+06,241302,1 2 3 4 5 6 7 9 10
Peak counts,biased,28000,S8,0.818363,0.013191,0.84,9,27000,925238,1.16469e+06,241302,1 2 3 4 5 6 7 9 10
Peak counts,biased,28000,w0,-1.246316,0.048330,-1.0,9,27000,925238,1.16469e+06,241302,1 2 3 4 5 6 7 9 10
Peak counts,biased,35000,Om,0.250355,0.008445,0.26,10,30000,1.12743e+06,1.4625e+06,270846,1 1 2 3 4 5 6 7 8 9
Peak counts,biased,35000,S8,0.817910,0.011708,0.84,10,30000,1.12743e+06,1.4625e+06,270846,1 1 2 3 4 5 6 7 8 9
Peak counts,biased,35000,w0,-1.261144,0.047269,-1.0,10,30000,1.12743e+06,1.4625e+06,270846,1 1 2 3 4 5 6 7 8 9
