statistic,role,area_sqdeg,parameter,mean,std,truth,n_seeds,n_samples,fom3_pooled,fom3_per_seed_mean,fom3_per_seed_std,runs
Power spectrum,biased,2000,Om,0.236715,0.033142,0.26,5,15000,26734.2,27222.1,1417.1,1 2 3 4 5
Power spectrum,biased,2000,S8,0.854278,0.061929,0.84,5,15000,26734.2,27222.1,1417.1,1 2 3 4 5
Power spectrum,biased,2000,w0,-1.125174,0.111866,-1.0,5,15000,26734.2,27222.1,1417.1,1 2 3 4 5
Power spectrum,biased,5000,Om,0.235992,0.021846,0.26,5,15000,79716.3,86203.1,7058.8,1 2 3 4 5
Power spectrum,biased,5000,S8,0.850795,0.040939,0.84,5,15000,79716.3,86203.1,7058.8,1 2 3 4 5
Power spectrum,biased,5000,w0,-1.163142,0.092992,-1.0,5,15000,79716.3,86203.1,7058.8,1 2 3 4 5
Power spectrum,biased,10000,Om,0.239337,0.016165,0.26,3,9000,199666,209657,5360.35,2 3 4
Power spectrum,biased,10000,S8,0.845238,0.029348,0.84,3,9000,199666,209657,5360.35,2 3 4
Power spectrum,biased,10000,w0,-1.176460,0.077415,-1.0,3,9000,199666,209657,5360.35,2 3 4
Power spectrum,biased,14000,Om,0.239696,0.014198,0.26,5,15000,244856,259191,30656.6,1 2 3 4 5
Power spectrum,biased,14000,S8,0.843069,0.025504,0.84,5,15000,244856,259191,30656.6,1 2 3 4 5
Power spectrum,biased,14000,w0,-1.192868,0.076739,-1.0,5,15000,244856,259191,30656.6,1 2 3 4 5
Power spectrum,biased,28000,Om,0.241810,0.012045,0.26,9,27000,344345,436743,52253.1,1 2 3 5 6 7 8 9 10
Power spectrum,biased,28000,S8,0.840125,0.022065,0.84,9,27000,344345,436743,52253.1,1 2 3 5 6 7 8 9 10
Power spectrum,biased,28000,w0,-1.187877,0.072167,-1.0,9,27000,344345,436743,52253.1,1 2 3 5 6 7 8 9 10
Power spectrum,biased,35000,Om,0.240813,0.010323,0.26,3,9000,506656,614062,56388.8,2 3 4
Power spectrum,biased,35000,S8,0.843169,0.019806,0.84,3,9000,506656,614062,56388.8,2 3 4
Power spectrum,biased,35000,w0,-1.172898,0.065444,-1.0,3,9000,506656,614062,56388.8,2 3 4
