statistic,role,area_sqdeg,parameter,mean,std,truth,n_seeds,n_samples,runs
Power spectrum,null,2000,Om,0.250687,0.032818,0.26,5,15000,1 2 3 4 5
Power spectrum,null,2000,S8,0.853836,0.062378,0.84,5,15000,1 2 3 4 5
Power spectrum,null,2000,w0,-1.036203,0.126867,-1.0,5,15000,1 2 3 4 5
Power spectrum,null,5000,Om,0.252627,0.021616,0.26,5,15000,1 2 3 4 5
Power spectrum,null,5000,S8,0.848470,0.040095,0.84,5,15000,1 2 3 4 5
Power spectrum,null,5000,w0,-1.039373,0.102167,-1.0,5,15000,1 2 3 4 5
Power spectrum,null,10000,Om,0.256583,0.015729,0.26,5,15000,1 2 3 4 5
Power spectrum,null,10000,S8,0.842872,0.028483,0.84,5,15000,1 2 3 4 5
Power spectrum,null,10000,w0,-1.031275,0.086689,-1.0,5,15000,1 2 3 4 5
Power spectrum,null,14000,Om,0.256245,0.013528,0.26,4,12000,1 3 4 5
Power spectrum,null,14000,S8,0.842583,0.024097,0.84,4,12000,1 3 4 5
Power spectrum,null,14000,w0,-1.035420,0.077695,-1.0,4,12000,1 3 4 5
Power spectrum,null,28000,Om,0.257240,0.010504,0.26,10,30000,1 2 3 4 5 6 7 8 9 10
Power spectrum,null,28000,S8,0.842448,0.018790,0.84,10,30000,1 2 3 4 5 6 7 8 9 10
Power spectrum,null,28000,w0,-1.022903,0.062693,-1.0,10,30000,1 2 3 4 5 6 7 8 9 10
Power spectrum,null,35000,Om,0.257418,0.009329,0.26,4,12000,1 2 4 5
Power spectrum,null,35000,S8,0.841377,0.017064,0.84,4,12000,1 2 4 5
Power spectrum,null,35000,w0,-1.021815,0.059133,-1.0,4,12000,1 2 4 5
Power spectrum,null,fullsky,Om,0.258277,0.007669,0.26,5,15000,1 2 3 4 5
Power spectrum,null,fullsky,S8,0.840506,0.014253,0.84,5,15000,1 2 3 4 5
Power spectrum,null,fullsky,w0,-1.021958,0.048059,-1.0,5,15000,1 2 3 4 5
