probe,row,Om,S8,w0
PS l100-400,Om,0.000278641766,-0.0005804716624,-0.001014771366
PS l100-400,S8,-0.0005804716624,0.00137842033,0.0031542508
PS l100-400,w0,-0.001014771366,0.0031542508,0.01317908632
PS l37-400 (HOS-l-matched),Om,0.0001535184761,-0.0002815128298,-8.965054741e-05
PS l37-400 (HOS-l-matched),S8,-0.0002815128298,0.0006404740905,0.0008659546531
PS l37-400 (HOS-l-matched),w0,-8.965054741e-05,0.0008659546531,0.005656408215
l1 scales234,Om,0.0001122788704,-0.0001329850765,0.0005152442964
l1 scales234,S8,-0.0001329850765,0.0001875242016,-0.0004473662209
l1 scales234,w0,0.0005152442964,-0.0004473662209,0.003573941446
peaks scales234,Om,0.000225410264,-0.0003041958038,0.0005867391942
peaks scales234,S8,-0.0003041958038,0.0004852358333,-0.0002364334389
peaks scales234,w0,0.0005867391942,-0.0002364334389,0.00674497872
