probe,row,Om,S8,w0
PS l100-1024 (paper),Om,7.884652191e-05,-0.0001608260258,-0.0002707914076
PS l100-1024 (paper),S8,-0.0001608260258,0.0004528360593,0.001439430648
PS l100-1024 (paper),w0,-0.0002707914076,0.001439430648,0.008441030956
PS l37-1024 (recovered),Om,6.939793814e-05,-0.0001197980716,-5.458564762e-05
PS l37-1024 (recovered),S8,-0.0001197980716,0.0002740467264,0.0006163071729
PS l37-1024 (recovered),w0,-5.458564762e-05,0.0006163071729,0.004970626049
l1 scales1234,Om,4.693908689e-05,-5.701081583e-05,0.0001682146464
l1 scales1234,S8,-5.701081583e-05,7.880863682e-05,-0.0001555576243
l1 scales1234,w0,0.0001682146464,-0.0001555576243,0.001094414932
peaks scales1234,Om,0.0001217138341,-0.0001653287012,0.000213249014
peaks scales1234,S8,-0.0001653287012,0.0002564596637,-7.107566833e-05
peaks scales1234,w0,0.000213249014,-7.107566833e-05,0.002555244839
