stat,scale,bin,snr,frac_diff,band,n_realizations,n_seeds
l1,1,1,-5.75,-0.0007785206694380163,5.2474868700824695,200,1
l1,1,1,-5.25,-0.014291653414386579,0.9360801653546782,200,1
l1,1,1,-4.75,-0.015413328305330822,0.3284990637696247,200,1
l1,1,1,-4.25,-0.009687292018346007,0.10600020545521628,200,1
l1,1,1,-3.75,-0.008167813990273063,0.036264539430350025,200,1
l1,1,1,-3.25,-0.007182264928229867,0.015744015819522127,200,1
l1,1,1,-2.75,-0.005280915799956697,0.008555797024530947,200,1
l1,1,1,-2.25,-0.0038129708218108496,0.00413638134277968,200,1
l1,1,1,-1.75,-0.002512876627076289,0.0023441140360884894,200,1
l1,1,1,-1.25,-0.001198943599974149,0.0016911527781853987,200,1
l1,1,1,-0.75,-0.0001528773373798911,0.0013861728954115073,200,1
l1,1,1,-0.25,0.000643524110634922,0.0013216239810004196,200,1
l1,1,1,0.25,0.0013523065434061523,0.0013418277149666938,200,1
l1,1,1,0.75,0.0013067667512665015,0.0012933018539283058,200,1
l1,1,1,1.25,0.0005376605101979566,0.0015911513812018948,200,1
l1,1,1,1.75,-0.0014572791868223088,0.0024667339750103863,200,1
l1,1,1,2.25,-0.005846568559155016,0.004513580237236579,200,1
l1,1,1,2.75,-0.01528765045074937,0.007714915574949106,200,1
l1,1,1,3.25,-0.03407266370520131,0.017372902659122186,200,1
l1,1,1,3.75,-0.0781995039539741,0.032673381098212946,200,1
l1,1,1,4.25,-0.17592544729946175,0.0642068867409291,200,1
l1,1,1,4.75,-0.29567141736078134,0.139671261465275,200,1
l1,1,1,5.25,-0.42015159437894184,0.2186501392969749,200,1
l1,1,1,5.75,-0.5253226406129999,0.2875043376619902,200,1
l1,1,1,6.25,-0.49571032927422387,0.4166160729439874,200,1
l1,1,1,6.75,-0.5129103369820307,0.6279372325848509,200,1
l1,1,1,7.25,-0.53625962211106,0.7803622102794235,200,1
l1,1,1,7.75,-0.34434241264225024,1.3300220862474885,200,1
l1,1,1,8.25,-0.3756681860214488,1.6521646282363842,200,1
l1,1,1,8.75,-0.6660151669248691,1.2175231842767884,200,1
l1,1,1,9.25,-0.7047653206930783,1.8439571571891764,200,1
l1,1,1,9.75,-0.5551967406565741,3.1140488036366007,200,1
l1,1,2,-5.75,-0.0009502766716824433,4.356424230000776,200,1
l1,1,2,-5.25,-0.03034421103697217,0.9590116054844734,200,1
l1,1,2,-4.75,-0.02194418220198443,0.2637044365801146,200,1
l1,1,2,-4.25,-0.021885356277227163,0.09683264933216233,200,1
l1,1,2,-3.75,-0.016524743680480913,0.034497581014089215,200,1
l1,1,2,-3.25,-0.013780417974763986,0.01435307147965664,200,1
l1,1,2,-2.75,-0.010743127229665398,0.007506687639072588,200,1
l1,1,2,-2.25,-0.0079084146062261,0.004132649215599658,200,1
l1,1,2,-1.75,-0.0051703124703374875,0.0024741903459736575,200,1
l1,1,2,-1.25,-0.0026139147848987226,0.0015567193299322105,200,1
l1,1,2,-0.75,-0.00046364770138031876,0.001266197757926756,200,1
l1,1,2,-0.25,0.0012367131817459832,0.0013961027906630934,200,1
l1,1,2,0.25,0.0028695135024138295,0.0013087552864916247,200,1
l1,1,2,0.75,0.0029754595339939773,0.0014248362559835936,200,1
l1,1,2,1.25,0.0018160437208255692,0.001700640620832173,200,1
l1,1,2,1.75,-0.0020670860835865857,0.0023904949499185344,200,1
l1,1,2,2.25,-0.010730781897394202,0.0037729054937555464,200,1
l1,1,2,2.75,-0.028527530763984864,0.007325036807110778,200,1
l1,1,2,3.25,-0.06326632107089751,0.013600147380884506,200,1
l1,1,2,3.75,-0.12791736044350258,0.025013970262850887,200,1
l1,1,2,4.25,-0.21477939986912978,0.04575990739106934,200,1
l1,1,2,4.75,-0.2931667504433175,0.07390627499540793,200,1
l1,1,2,5.25,-0.3385434755917975,0.09778589567505941,200,1
l1,1,2,5.75,-0.39716370224425246,0.14909233510382547,200,1
l1,1,2,6.25,-0.3800699677907663,0.19387341441607053,200,1
l1,1,2,6.75,-0.3889498875279265,0.2582864371705756,200,1
l1,1,2,7.25,-0.4183051971732616,0.37457936204850556,200,1
l1,1,2,7.75,-0.45454957663635176,0.42763258080247635,200,1
l1,1,2,8.25,-0.4077621762843649,0.5731332523570977,200,1
l1,1,2,8.75,-0.3837682913851428,0.811109881162338,200,1
l1,1,2,9.25,-0.46854626178230224,0.8916005171575404,200,1
l1,1,2,9.75,-0.4502780444471268,1.0383359958326994,200,1
l1,1,3,-6.25,-0.49874838147868594,7.071024241860383,200,1
l1,1,3,-5.75,-0.061756235481120456,2.5386599461316868,200,1
l1,1,3,-5.25,-0.031100506084932946,0.6527938968113156,200,1
l1,1,3,-4.75,-0.03909882466583795,0.21003778731969724,200,1
l1,1,3,-4.25,-0.03334521673660466,0.07600928990868587,200,1
l1,1,3,-3.75,-0.025910233413443493,0.03098059978331722,200,1
l1,1,3,-3.25,-0.021979053613141963,0.014507797602934067,200,1
l1,1,3,-2.75,-0.016703577750964198,0.006749792396513517,200,1
l1,1,3,-2.25,-0.012171376067186077,0.003447293668691325,200,1
l1,1,3,-1.75,-0.008015614790171896,0.0023240339498929647,200,1
l1,1,3,-1.25,-0.004183367211349972,0.0015538958388336109,200,1
