stat,scale,bin,snr,frac_diff,band,n_realizations,n_seeds
l1,1,1,-5.75,-0.0007785206694380163,9.007724837555031,200,1
l1,1,1,-5.25,-0.014291653414386579,1.606855388906469,200,1
l1,1,1,-4.75,-0.015413328305330822,0.5638945363925643,200,1
l1,1,1,-4.25,-0.009687292018346007,0.1819577079665722,200,1
l1,1,1,-3.75,-0.008167813990273063,0.062250940428579656,200,1
l1,1,1,-3.25,-0.007182264928229867,0.027025844151972123,200,1
l1,1,1,-2.75,-0.005280915799956697,0.014686699990110817,200,1
l1,1,1,-2.25,-0.0038129708218108496,0.007100424618760445,200,1
l1,1,1,-1.75,-0.002512876627076289,0.004023856514119075,200,1
l1,1,1,-1.25,-0.001198943599974149,0.0029029970462644346,200,1
l1,1,1,-0.75,-0.0001528773373798911,0.0023794750379142107,200,1
l1,1,1,-0.25,0.000643524110634922,0.002268671738358965,200,1
l1,1,1,0.25,0.0013523065434061523,0.0023033530402402406,200,1
l1,1,1,0.75,0.0013067667512665015,0.0022200545747917007,200,1
l1,1,1,1.25,0.0005376605101979566,0.0027313367658863812,200,1
l1,1,1,1.75,-0.0014572791868223088,0.004234343304606059,200,1
l1,1,1,2.25,-0.005846568559155016,0.007747916253216751,200,1
l1,1,1,2.75,-0.01528765045074937,0.013243260700720353,200,1
l1,1,1,3.25,-0.03407266370520131,0.029821956806638256,200,1
l1,1,1,3.75,-0.0781995039539741,0.05608643408395006,200,1
l1,1,1,4.25,-0.17592544729946175,0.11021618209961533,200,1
l1,1,1,4.75,-0.29567141736078134,0.2397567296768916,200,1
l1,1,1,5.25,-0.42015159437894184,0.3753301988632275,200,1
l1,1,1,5.75,-0.5253226406129999,0.49352385768275714,200,1
l1,1,1,6.25,-0.49571032927422387,0.7151543283276888,200,1
l1,1,1,6.75,-0.5129103369820307,1.0779037559156843,200,1
l1,1,1,7.25,-0.53625962211106,1.339553244792175,200,1
l1,1,1,7.75,-0.34434241264225024,2.283087747983251,200,1
l1,1,1,8.25,-0.3756681860214488,2.836070813696169,200,1
l1,1,1,8.75,-0.6660151669248691,2.0899745151981217,200,1
l1,1,1,9.25,-0.7047653206930783,3.1652978073938987,200,1
l1,1,1,9.75,-0.5551967406565741,5.3455102315358625,200,1
l1,1,2,-5.75,-0.0009502766716824433,7.478145579216633,200,1
l1,1,2,-5.25,-0.03034421103697217,1.6462190134246597,200,1
l1,1,2,-4.75,-0.02194418220198443,0.45266945148522547,200,1
l1,1,2,-4.25,-0.021885356277227163,0.16622087526287935,200,1
l1,1,2,-3.75,-0.016524743680480913,0.05921781702929629,200,1
l1,1,2,-3.25,-0.013780417974763986,0.024638178553550903,200,1
l1,1,2,-2.75,-0.010743127229665398,0.01288582103554245,200,1
l1,1,2,-2.25,-0.0079084146062261,0.007094018128276769,200,1
l1,1,2,-1.75,-0.0051703124703374875,0.004247142753101454,200,1
l1,1,2,-1.25,-0.0026139147848987226,0.0026722314358286372,200,1
l1,1,2,-0.75,-0.00046364770138031876,0.0021735282575664804,200,1
l1,1,2,-0.25,0.0012367131817459832,0.002396520485822235,200,1
l1,1,2,0.25,0.0028695135024138295,0.002246581609879623,200,1
l1,1,2,0.75,0.0029754595339939773,0.002445843743915957,200,1
l1,1,2,1.25,0.0018160437208255692,0.0029192836760321846,200,1
l1,1,2,1.75,-0.0020670860835865857,0.004103473008612338,200,1
l1,1,2,2.25,-0.010730781897394202,0.0064764896734873685,200,1
l1,1,2,2.75,-0.028527530763984864,0.012574003064133364,200,1
l1,1,2,3.25,-0.06326632107089751,0.02334572498992781,200,1
l1,1,2,3.75,-0.12791736044350258,0.04293845164380636,200,1
l1,1,2,4.25,-0.21477939986912978,0.0785504879908876,200,1
l1,1,2,4.75,-0.2931667504433175,0.12686594657774644,200,1
l1,1,2,5.25,-0.3385434755917975,0.1678571977486348,200,1
l1,1,2,5.75,-0.39716370224425246,0.2559287451790614,200,1
l1,1,2,6.25,-0.3800699677907663,0.3327989976180336,200,1
l1,1,2,6.75,-0.3889498875279265,0.44336902843330533,200,1
l1,1,2,7.25,-0.4183051971732616,0.642995000596698,200,1
l1,1,2,7.75,-0.45454957663635176,0.7340650324260244,200,1
l1,1,2,8.25,-0.4077621762843649,0.9838284040155376,200,1
l1,1,2,8.75,-0.3837682913851428,1.3923340455004276,200,1
l1,1,2,9.25,-0.46854626178230224,1.530502566736421,200,1
l1,1,2,9.75,-0.4502780444471268,1.7823855820801038,200,1
l1,1,3,-6.25,-0.49874838147868594,12.137970473732409,200,1
l1,1,3,-5.75,-0.061756235481120456,4.3578099034895015,200,1
l1,1,3,-5.25,-0.031100506084932946,1.120572179348628,200,1
l1,1,3,-4.75,-0.03909882466583795,0.36054641783887,200,1
l1,1,3,-4.25,-0.03334521673660466,0.13047593744329472,200,1
l1,1,3,-3.75,-0.025910233413443493,0.05318064152605546,200,1
l1,1,3,-3.25,-0.021979053613141963,0.024903778140204617,200,1
l1,1,3,-2.75,-0.016703577750964198,0.011586550690589793,200,1
l1,1,3,-2.25,-0.012171376067186077,0.005917551309914767,200,1
l1,1,3,-1.75,-0.008015614790171896,0.003989387463382635,200,1
l1,1,3,-1.25,-0.004183367211349972,0.00266738469080056,200,1
l1,1,3,-0.75,-0.0006187370695625606,0.002361492206531009,200,1
l1,1,3,-0.25,0.002008319307910963,0.002284075970694482,200,1
l1,1,3,0.25,0.0047323011240323915,0.0024857656947096505,200,1
l1,1,3,0.75,0.005141389038816429,0.00211885850849088,200,1
l1,1,3,1.25,0.0035521144646720433,0.002759256186837442,200,1
l1,1,3,1.75,-0.001736751716961413,0.004088563571732177,200,1
l1,1,3,2.25,-0.013236447762542021,0.006220394176878431,200,1
l1,1,3,2.75,-0.034462984843398665,0.009711881459306257,200,1
l1,1,3,3.25,-0.07119926276597767,0.018407964968395862,200,1
l1,1,3,3.75,-0.12234568496703632,0.0325752988792179,200,1
l1,1,3,4.25,-0.18527544129399776,0.045758961053833175,200,1
l1,1,3,4.75,-0.2308255481024331,0.06778498289116487,200,1
l1,1,3,5.25,-0.26783629978299267,0.1047679433010648,200,1
l1,1,3,5.75,-0.2898692653399384,0.14850058812448458,200,1
l1,1,3,6.25,-0.30851001468291184,0.17009957911365972,200,1
l1,1,3,6.75,-0.29254588175192026,0.23991698129129038,200,1
l1,1,3,7.25,-0.2966030002328572,0.34841732421821625,200,1
l1,1,3,7.75,-0.3404377602900576,0.39725145481923446,200,1
l1,1,3,8.25,-0.32109298831018096,0.5237260436224548,200,1
l1,1,3,8.75,-0.30368343581074697,0.7151224510275133,200,1
l1,1,3,9.25,-0.3466591333738703,0.9154547898271016,200,1
l1,1,3,9.75,-0.3825073959565827,0.9622781354044125,200,1
l1,1,4,-6.25,-0.0001113247127008195,24.212628486785896,200,1
l1,1,4,-5.75,-0.06563674082950163,2.8913786411581057,200,1
l1,1,4,-5.25,-0.05285468745085601,0.8585854915177716,200,1
l1,1,4,-4.75,-0.03969976183059773,0.2812418692713772,200,1
l1,1,4,-4.25,-0.03464894483327395,0.10718386670928974,200,1
l1,1,4,-3.75,-0.02808486378962731,0.045100105471331316,200,1
l1,1,4,-3.25,-0.023805058285545057,0.020782518604859083,200,1
l1,1,4,-2.75,-0.018445209151003755,0.01047774018656293,200,1
l1,1,4,-2.25,-0.013441186764095637,0.0063619261929127,200,1
l1,1,4,-1.75,-0.008716351939455769,0.003935392962115462,200,1
l1,1,4,-1.25,-0.004355604612171575,0.0027617988735366117,200,1
l1,1,4,-0.75,-0.000568285490278498,0.0020989145121665057,200,1
l1,1,4,-0.25,0.0023601673345824093,0.002549286587187405,200,1
l1,1,4,0.25,0.005457933412562065,0.002598933020279864,200,1
l1,1,4,0.75,0.005805125614098604,0.0024442662515659643,200,1
l1,1,4,1.25,0.004231633756462714,0.002836752768369025,200,1
l1,1,4,1.75,-0.0011341524668073836,0.0038278968669179267,200,1
l1,1,4,2.25,-0.012528986855742883,0.005904712273185287,200,1
l1,1,4,2.75,-0.03278253564045163,0.010159862858974723,200,1
l1,1,4,3.25,-0.06446450518033592,0.017069347840917275,200,1
l1,1,4,3.75,-0.1090876303338644,0.028244597640318076,200,1
l1,1,4,4.25,-0.1589985078631909,0.042032254490948474,200,1
l1,1,4,4.75,-0.19877684010567237,0.06380148854754088,200,1
l1,1,4,5.25,-0.23724467786821946,0.0884306288278928,200,1
l1,1,4,5.75,-0.2545913984142729,0.12728088186782982,200,1
l1,1,4,6.25,-0.26848358047511955,0.15818052444112354,200,1
l1,1,4,6.75,-0.27301362588415223,0.20993058481253407,200,1
l1,1,4,7.25,-0.3002882691133008,0.24404199348739594,200,1
l1,1,4,7.75,-0.28791797003916597,0.34917926016071055,200,1
l1,1,4,8.25,-0.30739557850474114,0.40937764189872966,200,1
l1,1,4,8.75,-0.3256601826636597,0.5208761998335092,200,1
l1,1,4,9.25,-0.25857648565746605,0.7164350000167552,200,1
l1,1,4,9.75,-0.3296751788557477,0.84653463327982,200,1
l1,2,1,-6.25,-0.19023324010733253,11.686423329753586,200,1
l1,2,1,-5.75,-0.14863034046514523,4.21407924181229,200,1
l1,2,1,-5.25,-0.020627964674468337,1.5905054429893495,200,1
l1,2,1,-4.75,-0.026439137496723195,0.5327656785323251,200,1
l1,2,1,-4.25,-0.017142826178055997,0.2193639551904197,200,1
l1,2,1,-3.75,-0.014080940169580397,0.09951716219720637,200,1
l1,2,1,-3.25,-0.00994453967469836,0.052063317492595955,200,1
l1,2,1,-2.75,-0.007221822735385971,0.027236096672114626,200,1
l1,2,1,-2.25,-0.004852857355565607,0.01536281881425167,200,1
l1,2,1,-1.75,-0.002908297606517219,0.008694943445120853,200,1
l1,2,1,-1.25,-0.001329092043690405,0.00507782764201283,200,1
l1,2,1,-0.75,-2.106582141953076e-05,0.004456357042871554,200,1
l1,2,1,-0.25,0.0008201161759046785,0.004650923225284634,200,1
l1,2,1,0.25,0.0016673927162921148,0.0048037590433324005,200,1
l1,2,1,0.75,0.0017180340204430511,0.004781329207416121,200,1
l1,2,1,1.25,0.0011663849321564205,0.004991947173794607,200,1
l1,2,1,1.75,-0.0004361674744271421,0.00831192545291707,200,1
l1,2,1,2.25,-0.003959589733080838,0.014895185789243967,200,1
l1,2,1,2.75,-0.010775753809719499,0.024879940834253038,200,1
l1,2,1,3.25,-0.023213631575720976,0.04597805147387117,200,1
l1,2,1,3.75,-0.04167100365896541,0.07648440597111186,200,1
l1,2,1,4.25,-0.06962607877656857,0.10604305293677321,200,1
l1,2,1,4.75,-0.09462071591050811,0.15387452415228722,200,1
l1,2,1,5.25,-0.1119553263656636,0.20554911401946915,200,1
l1,2,1,5.75,-0.13110648741224173,0.2769643223977268,200,1
l1,2,1,6.25,-0.14857488836351587,0.3310832515588646,200,1
l1,2,1,6.75,-0.14819688843442944,0.4133537719667081,200,1
l1,2,1,7.25,-0.16647154195873004,0.48951452889890423,200,1
l1,2,1,7.75,-0.17539712589370746,0.5785778107348181,200,1
l1,2,1,8.25,-0.1566072389953595,0.7354040275458759,200,1
l1,2,1,8.75,-0.1768225549463358,0.8154516418817097,200,1
