stat,scale,bin,snr,frac_diff,band,n_realizations,n_seeds
peaks,1,1,-0.9999999999999999,0.0,6.244997998398391,200,1
peaks,1,1,-0.5999999999999999,0.008264462809917356,0.49570470135974637,200,1
peaks,1,1,-0.19999999999999996,-0.0043724844493230886,0.05885323132202511,200,1
peaks,1,1,0.20000000000000018,-0.0004489121567051897,0.015602938199072963,200,1
peaks,1,1,0.6000000000000003,0.0019644344051954793,0.005638721779510542,200,1
peaks,1,1,1.0000000000000002,0.003247307994480646,0.0032872971781619546,200,1
peaks,1,1,1.4000000000000001,0.003097533902645506,0.0027259260246659937,200,1
peaks,1,1,1.8,0.0012581455572056102,0.003343308664092096,200,1
peaks,1,1,2.2,-0.0025774592653649655,0.004608042712410059,200,1
peaks,1,1,2.6000000000000005,-0.009103839792893685,0.0072231448980379625,200,1
peaks,1,1,3.0000000000000004,-0.020799765754922702,0.013239158216135668,200,1
peaks,1,1,3.4000000000000004,-0.04105716985276798,0.024526895596904744,200,1
peaks,1,1,3.8000000000000003,-0.0840932406246438,0.04155639433555604,200,1
peaks,1,1,4.2,-0.1603889493453154,0.07001479513486446,200,1
peaks,1,1,4.6000000000000005,-0.2649780245200093,0.1301667988688551,200,1
peaks,1,1,5.0,-0.35623486682808714,0.1958845161261906,200,1
peaks,1,1,5.4,-0.4724458204334366,0.2813735662478488,200,1
peaks,1,1,5.800000000000001,-0.5334928229665072,0.32692943465828805,200,1
peaks,1,1,6.2,-0.489841986455982,0.45887822549174234,200,1
peaks,1,1,6.6000000000000005,-0.52,0.5878775382679622,200,1
peaks,1,1,7.000000000000001,-0.5686274509803921,0.8069712070091847,200,1
peaks,1,1,7.400000000000001,-0.32432432432432434,1.2604566287957857,200,1
peaks,1,1,7.800000000000001,-0.4,1.4437605218471825,200,1
peaks,1,1,8.2,-0.33333333333333337,2.000000000000001,200,1
peaks,1,1,8.600000000000001,-0.6363636363636364,1.4393141923682324,200,1
peaks,1,1,9.0,-0.6956521739130435,1.5980848651729638,200,1
peaks,1,1,9.400000000000002,-0.5555555555555556,3.1111111111111085,200,1
peaks,1,1,9.8,-0.6666666666666666,2.701165729142935,200,1
peaks,1,2,-0.9999999999999999,0.16666666666666669,6.125991983163027,200,1
peaks,1,2,-0.5999999999999999,-0.01464605370219691,0.3996758242028608,200,1
peaks,1,2,-0.19999999999999996,-0.0067425925346516055,0.057299836739011574,200,1
peaks,1,2,0.20000000000000018,-0.001377736765054252,0.013683645687304341,200,1
peaks,1,2,0.6000000000000003,0.00412078108445765,0.0055099554760916665,200,1
peaks,1,2,1.0000000000000002,0.006708992082101495,0.0037012988354237415,200,1
peaks,1,2,1.4000000000000001,0.006477331082989434,0.0028908250440768547,200,1
peaks,1,2,1.8,0.003363303797911714,0.0032675073929524074,200,1
peaks,1,2,2.2,-0.003688193580974712,0.004350077192693809,200,1
peaks,1,2,2.6000000000000005,-0.01675036711580118,0.006777702427472051,200,1
peaks,1,2,3.0000000000000004,-0.03783947515792889,0.011064194188699967,200,1
peaks,1,2,3.4000000000000004,-0.07623177429909635,0.01718997317968292,200,1
peaks,1,2,3.8000000000000003,-0.13299566684743408,0.030126120631351436,200,1
peaks,1,2,4.2,-0.20263270243347087,0.04967931321007854,200,1
peaks,1,2,4.6000000000000005,-0.27837266177539827,0.06833558051940607,200,1
peaks,1,2,5.0,-0.3153439869989166,0.09524059211020058,200,1
peaks,1,2,5.4,-0.35435025443713547,0.13852087901846297,200,1
peaks,1,2,5.800000000000001,-0.4031203879401223,0.16751117575139096,200,1
