bin,ell_index,frac_diff,band,n_realizations
1,0,-0.0005899820653604252,0.08832576910166576,200
1,1,-0.0009870851464287968,0.0674490445993143,200
1,2,-0.001631114328116401,0.04816279574181929,200
1,3,-0.002471860190727888,0.03585775392718134,200
1,4,-0.0035212296519243165,0.02316343972943316,200
1,5,-0.004611021500516791,0.015496085153997502,200
1,6,-0.005508185910300349,0.010362717734224343,200
1,7,-0.0059189495169713014,0.007362118874132139,200
1,8,-0.005543225593321141,0.004620038381626368,200
1,9,-0.004425396466703009,0.003772565319029942,200
2,0,-0.00042677855941529723,0.08114389839062953,200
2,1,-0.0007294769706273366,0.06411098644717783,200
2,2,-0.0013216473873190987,0.04090296456950036,200
2,3,-0.0023045657087878203,0.0306320319153766,200
2,4,-0.0037999161087069605,0.021821145199941754,200
2,5,-0.005789260203663177,0.015898590740647738,200
2,6,-0.007954168302129378,0.010581567032564482,200
2,7,-0.009767139426253225,0.006623614242143153,200
2,8,-0.01044090771813992,0.0049211201189303016,200
2,9,-0.009515639664457478,0.0033160196100958297,200
3,0,-0.0002723027763380767,0.08557517375028581,200
3,1,-0.00045338972860032407,0.06372069456222096,200
3,2,-0.0008270948725302395,0.041210126077789504,200
3,3,-0.001539097624616445,0.03011582753074191,200
3,4,-0.002875909881177968,0.01996383013419461,200
3,5,-0.005052574591907528,0.016883643490881582,200
3,6,-0.008068545141652419,0.010420118260771067,200
3,7,-0.011442156437614225,0.007514628378786251,200
3,8,-0.014100390203537427,0.005491133820336568,200
3,9,-0.014822381034878969,0.0036839029570705927,200
4,0,-0.000215757546239527,0.09233678671006569,200
4,1,-0.00035467195140496445,0.06228225863037393,200
4,2,-0.0006382990265632077,0.0439699027868765,200
4,3,-0.0011860089197206639,0.027996442358161646,200
4,4,-0.002287005478261596,0.021212821316795354,200
4,5,-0.004246045760804102,0.016341998442374602,200
4,6,-0.007220521940899607,0.010620442757774759,200
4,7,-0.010957750664887361,0.007971587792684915,200
4,8,-0.01441361045372124,0.005866034298700807,200
4,9,-0.016117307017263438,0.004109966818289775,200
